feature,mean_importance
Nom du Produit en Français_grillée,-0.010874711613677335
LCI Name_grilled,-0.007467502588981034
LCI Name_soft,-0.0031584494249363715
Nom du Produit en Français_base,-0.0029879851054255167
LCI Name_white,-0.0027121142904084406
Nom du Produit en Français_blanc,-0.0022276602159854277
Nom du Produit en Français_ou,-0.002220184529182523
Nom du Produit en Français_légumes,-0.0021723815420670923
Nom du Produit en Français_huile,-0.0016409401116539769
LCI Name_boiled,-0.001548062471402989
Sous-groupe d'aliment,-0.0015464824181062875
Nom du Produit en Français_la,-0.0013906365777144325
LCI Name_oil,-0.0013270709508159451
LCI Name_vegetables,-0.0012687564445340803
LCI Name_chicken,-0.0011664935216102012
LCI Name_pan,-0.0011301603357278922
Nom du Produit en Français_sirop,-0.0011146057711423519
Nom du Produit en Français_sec,-0.0010453345583126717
Nom du Produit en Français_type,-0.0009371553839378044
LCI Name_fried,-0.000925463222405154
Nom du Produit en Français_pour,-0.0008932396080880922
Nom du Produit en Français_cuite,-0.0008656178436395656
Nom du Produit en Français_poulet,-0.0008271756932081486
Nom du Produit en Français_thon,-0.0008144274355170733
Nom du Produit en Français_soupe,-0.0008101074152545684
Nom du Produit en Français_riz,-0.0006646942500387997
LCI Name_cooked,-0.0005584736923772149
Nom du Produit en Français_cru,-0.0005516111681128644
LCI Name_fat,-0.0005295327892098301
Nom du Produit en Français_appertisé,-0.0005117963996222775
LCI Name_filled,-0.00044770098464373963
LCI Name_rice,-0.000385129351324498
LCI Name_fish,-0.0003733345223766005
Nom du Produit en Français_salade,-0.00033784815243080856
Nom du Produit en Français_sauce,-0.0002849003290718022
LCI Name_water,-0.0002724177444186515
LCI Name_soup,-0.0002698445933470905
LCI Name_goat,-0.00025663052226887473
Nom du Produit en Français_eau,-0.00022811988863744582
LCI Name_refrigerated,-0.00020231707203978156
Nom du Produit en Français_pois,-0.00017607650282912556
Nom du Produit en Français_porc,-0.00017398372581129974
LCI Name_syrup,-0.00011104970909414646
LCI Name_strongly,-0.00010587123314242941
Nom du Produit en Français_st,-9.799441530936593e-05
Nom du Produit en Français_sucrée,-6.778885494884701e-05
Nom du Produit en Français_poudre,0.0
Transport par avion (1 : par avion),0.0
LCI Name_powder,0.0
LCI Name_skin,0.0
Nom du Produit en Français_dessert,9.125387195085822e-06
Nom du Produit en Français_noix,1.3409029435251796e-05
Nom du Produit en Français_tomate,2.220356344169172e-05
Nom du Produit en Français_fourrée,5.559818639865322e-05
LCI Name_dairy,7.631692328320394e-05
Nom du Produit en Français_mg,7.970363879963304e-05
Nom du Produit en Français_peau,9.289863145656163e-05
LCI Name_pastry,0.00010941616696017454
Acidification terrestre et eaux douces (mol H+ eq/kg de produit),0.0001304123833865245
Nom du Produit en Français_rôti,0.0001434228787677072
Nom du Produit en Français_sans,0.00017596619829132187
Nom du Produit en Français_non,0.00018459722998401818
Appauvrissement de la couche d'ozone (E-06 kg CVC11 eq/kg de produit),0.00018550903507021931
Épuisement des ressources énergétiques (MJ/kg de produit),0.0002466440267595016
LCI Name_vegetable,0.0002732061428681987
LCI Name_drink,0.00028613263930009624
Nom du Produit en Français_blé,0.0002884062270909427
LCI Name_drained,0.0003078669623089003
Nom du Produit en Français_grasse,0.00030884802955433166
LCI Name_red,0.000309653348424177
Nom du Produit en Français_fortement,0.0003254247592406112
LCI Name_pork,0.0003530224485954303
LCI Name_juice,0.00040766292094690515
Score unique EF (mPt/kg de produit),0.00040819912385435807
Nom du Produit en Français_demi,0.0004088040093610856
Nom du Produit en Français_sèche,0.00041134464282972517
Nom du Produit en Français_moyennement,0.0004134847554162047
LCI Name_pulp,0.00041810898495752146
LCI Name_sparkling,0.00043630642685464903
Nom du Produit en Français_jus,0.0004387562988978688
Eutrophisation terreste (mol N eq/kg de produit),0.0004470478485836038
Nom du Produit en Français_matière,0.0004935062317372064
LCI Name_wheat,0.0005483217757043191
Nom du Produit en Français_et,0.0005571773729362128
Nom du Produit en Français_crème,0.0005652876854137956
LCI Name_baked,0.0005664279884208812
Nom du Produit en Français_faiblement,0.0005992911094869213
LCI Name_wine,0.0005993531945551634
Nom du Produit en Français_égoutté,0.0006088448404381386
Nom du Produit en Français_maïs,0.0006292074325485508
LCI Name_yogurt,0.0006326310818511982
LCI Name_lightly,0.0006687270155924074
LCI Name_unsalted,0.0006930340629866972
Nom du Produit en Français_embouteillée,0.0007016528006684841
Nom du Produit en Français_minéralisée,0.0007082381646470681
LCI Name_mineralized,0.0007143659498429989
LCI Name_dry,0.000732019773481507
LCI Name_elements,0.0007449454554639412
LCI Name_corn,0.0007964746741158212
LCI Name_green,0.0008252782522532697
Nom du Produit en Français_viande,0.000852428342954592
Groupe d'aliment,0.0008992685765947916
Nom du Produit en Français_environ,0.0009297051912545706
Nom du Produit en Français_vitamines,0.0009374545874267671
Nom du Produit en Français_filet,0.0009477021029069777
Particules (E-06 disease inc./kg de produit),0.0009563120543905956
Nom du Produit en Français_chèvre,0.000961865753481006
LCI Name_bread,0.0009717151942657653
Nom du Produit en Français_yaourt,0.0009768342360390926
LCI Name_reduced,0.0009829724531020712
LCI Name_dessert,0.0010112587820496621
Nom du Produit en Français_déjeuner,0.0010190443134881378
Nom du Produit en Français_minérale,0.001027321111799573
LCI Name_mineral,0.0010482744055153482
LCI Name_type,0.0010603378217706183
Nom du Produit en Français_gazeuse,0.0010667497878545263
Nom du Produit en Français_déshydratée,0.0010681073857708666
LCI Name_roasted,0.00107547969483488
LCI Name_chemical,0.0011309362099043208
Écotoxicité pour écosystèmes aquatiques d'eau douce (CTUe/kg de produit),0.0011436251699208477
LCI Name_meat,0.0011874003050571734
LCI Name_light,0.00118756797918097
Nom du Produit en Français_avec,0.00122949575810819
LCI Name_biscuit,0.0012525861417544636
Nom du Produit en Français_rayon,0.001311390466325979
LCI Name_salmon,0.0013557086804248497
Nom du Produit en Français_pulpe,0.001363841759948492
Nom du Produit en Français_rôtie,0.0014179329647554418
LCI Name_baby,0.0014294238319677687
LCI Name_bottled,0.0014845912591949118
LCI Name_sugar,0.0014962137360577277
LCI Name_lamb,0.00155778847156256
Nom du Produit en Français_crue,0.0015741159580507703
Nom du Produit en Français_sucré,0.0015906681248731736
Nom du Produit en Français_surgelé,0.001657949926026281
Nom du Produit en Français_beurre,0.001667104688611498
LCI Name_french,0.0016984086408434295
LCI Name_tomato,0.0016996994480895865
