feature,mean_importance
Nom du Produit en Français_fromage,-0.00012056288206145905
LCI Name_unsalted,-0.00010375769368187182
Nom du Produit en Français_veau,-8.231805454299579e-05
LCI Name_syrup,-7.009727971942769e-05
Préparation,-6.20917444370317e-05
LCI Name_fruit,-2.9289970394530407e-05
LCI Name_fish,-1.3312841491264216e-05
Nom du Produit en Français_poisson,-1.2186703356764639e-05
Nom du Produit en Français_pomme,-9.163456562766292e-06
LCI Name_white,-9.063241431128688e-06
LCI Name_sauce,-7.076663588456711e-07
Transport par avion (1 : par avion),-1.3322676295501878e-16
LCI Name_vitamins,-1.1102230246251565e-16
Nom du Produit en Français_la,-1.1102230246251565e-16
Nom du Produit en Français_légumes,-1.1102230246251565e-16
Nom du Produit en Français_en,-1.1102230246251565e-16
Nom du Produit en Français_moyennement,-1.1102230246251565e-16
LCI Name_pastry,-1.1102230246251565e-16
Nom du Produit en Français_poulet,-1.1102230246251565e-16
Nom du Produit en Français_rôtie,-1.1102230246251565e-16
LCI Name_light,-1.1102230246251565e-16
Nom du Produit en Français_base,-1.1102230246251565e-16
Nom du Produit en Français_sucrée,-1.1102230246251565e-16
LCI Name_strongly,-1.1102230246251565e-16
LCI Name_green,-1.1102230246251565e-16
LCI Name_dry,-1.1102230246251565e-16
LCI Name_bread,-1.1102230246251565e-16
LCI Name_butter,-1.1102230246251565e-16
Nom du Produit en Français_yaourt,-8.881784197001253e-17
Nom du Produit en Français_porc,-8.881784197001253e-17
LCI Name_cake,-8.881784197001253e-17
LCI Name_cereals,-8.881784197001253e-17
LCI Name_chicken,-8.881784197001253e-17
LCI Name_cooked,-8.881784197001253e-17
LCI Name_potato,-8.881784197001253e-17
LCI Name_fruits,-8.881784197001253e-17
LCI Name_powder,-8.881784197001253e-17
LCI Name_frozen,-8.881784197001253e-17
Nom du Produit en Français_grillée,-8.881784197001253e-17
Nom du Produit en Français_minéralisée,-8.881784197001253e-17
LCI Name_mineralized,-8.881784197001253e-17
Nom du Produit en Français_pâte,-8.881784197001253e-17
LCI Name_baby,-8.881784197001253e-17
Nom du Produit en Français_rayon,-8.881784197001253e-17
Nom du Produit en Français_rôti,-8.881784197001253e-17
Nom du Produit en Français_salade,-8.881784197001253e-17
Nom du Produit en Français_sans,-8.881784197001253e-17
LCI Name_crepe,-8.881784197001253e-17
LCI Name_lamb,-8.881784197001253e-17
LCI Name_juice,-8.881784197001253e-17
Nom du Produit en Français_grasse,-8.881784197001253e-17
LCI Name_boiled,-8.881784197001253e-17
LCI Name_ice,-8.881784197001253e-17
LCI Name_biscuit,-8.881784197001253e-17
Nom du Produit en Français_vitamines,-8.881784197001253e-17
Nom du Produit en Français_pur,-8.881784197001253e-17
Nom du Produit en Français_tomate,-8.881784197001253e-17
LCI Name_yogurt,-8.881784197001253e-17
Nom du Produit en Français_boeuf,-8.881784197001253e-17
