feature,mean_importance
weekday,-0.0006361582285005385
score_controls_wday,-0.0003867341155491699
count_controls_wday,0.0024211678151317972
dept,0.004293744673033717
longitude,0.005250991864369836
latitude,0.0063645282893706415
has_agrement,0.0070524420240158925
count_controls_activite,0.00878146314376962
count_controls_filtre,0.009209859618469518
year,0.010790616730268755
month,0.014209401856204696
count_controls_dept,0.026168183786824017
filtre,0.03398607308117485
score_controls_activite,0.036005789472672946
score_controls_filtre,0.04011409876138254
score_controls_dept,0.07721423816980058
