feature,mean_importance
reglement_interieur_ni,-0.0022782397005741252
reglement_interieur_bordeaux,-0.0019399701004467862
Titre_salle,-0.0018983550317414055
Titre_m2,-0.001500747006919556
Titre_sur,-0.0014905568314510398
reduction_mois,-0.0012912161604753058
produits_base,-0.001123488431122166
Cintres,-0.0009990885703294761
Titre_belle,-0.0009119387242582655
Ascenseur,-0.000898689169559952
Titre_flat,-0.0008524288742529085
Titre_appartement,-0.000815276585931457
reglement_interieur_est,-0.0007928348745834923
reglement_interieur_appartement,-0.0007621695754334579
reglement_interieur_apartment,-0.0007559425770449213
reglement_interieur_mais,-0.0006519026317550302
Longitude,-0.0006264381704570221
reglement_interieur_15,-0.0005616804734194791
Titre_la,-0.0005012791412959516
Titre_parking,-0.0004971108600414831
reglement_interieur_00,-0.0004686581564117831
Titre_bdx,-0.00045575784477650536
Titre_pierre,-0.0004408666713267784
Titre_centre,-0.00041344706843430277
reglement_interieur_en,-0.00040258454936836774
Titre_michel,-0.00039363954125989367
reglement_interieur_possible,-0.0003908926878911978
reglement_interieur_ils,-0.0003449529612827851
reglement_interieur_demande,-0.00033874331346616103
reglement_interieur_ne,-0.0003361630134901761
reglement_interieur_propreté,-0.00031165685137553024
reglement_interieur_les,-0.0002661085130375884
Titre_duplex,-0.00026471123449545164
reglement_interieur_remise,-0.000258877173442873
Titre_confort,-0.00024731718242273495
Titre_quais,-0.00024158377566242396
Titre_spacieux,-0.0002356146500996359
Titre_lumineux,-0.00022862239516225903
reglement_interieur_même,-0.000224800635505229
Titre_neuf,-0.0002241874118909859
Titre_tout,-0.0002174430896380697
Titre_hypercentre,-0.00021189774286360928
reglement_interieur_sur,-0.00019030762928491375
Animal_sur_place,-0.00018142462097714418
wifi,-0.00018121108354991479
reglement_interieur_respecter,-0.00016156481395241952
Titre_les,-0.0001599826822988093
reglement_interieur_personnes,-0.00015180290450445
Titre_atypique,-0.00011979870982847807
fer_repasser,-0.00011888209005899153
Titre_triangle,-0.00011841692897637257
reglement_interieur_au,-0.00010033554646633469
reglement_interieur_ce,-9.624075960649182e-05
Titre_appart,-9.473577855079185e-05
Titre_charme,-8.763751211364746e-05
Titre_charmante,-7.904592176347647e-05
