feature,mean_importance
Titre_double,-0.002519477913453516
conditions_annulation,-0.0024480222870165713
reglement_interieur_et,-0.0016697061959679127
Titre_chambres,-0.0015942465885914747
Titre_dans,-0.0014312132680559975
reglement_interieur_aux,-0.001202984535765872
Titre_chambre,-0.0011986695422818716
reglement_interieur_les,-0.0011557971094916964
seche_cheveux,-0.0009937231184927175
Jacuzzi,-0.0009255862781999413
Titre_au,-0.0009137532221337175
espace_travail_ordi,-0.0008191338980088392
Titre_bel,-0.0007746453248324792
reglement_interieur_en,-0.0007492127250049996
reglement_interieur_du,-0.0007214077680242736
animaux_acceptes,-0.0006780548813826726
NbLits,-0.0006638592681279309
reglement_interieur_soirée,-0.00064634519498592
Titre_cœur,-0.0006174577374165491
porte_chambre_verrou,-0.0006088751229957112
extincteur,-0.0005696957501124311
reglement_interieur_vous,-0.0005666472946730394
reglement_interieur_après,-0.0005209882402250843
detecteur_fumee,-0.00047381787662171827
reglement_interieur_heure,-0.0004661800397937732
Chauffage,-0.0004385441219079689
Titre_echoppe,-0.00042820284949678377
reglement_interieur_se,-0.000427292272988522
salle_sport,-0.00040377173917587327
Titre_bordeaux,-0.00040363169880962556
Titre_belle,-0.00035532996154619134
reglement_interieur_entrée,-0.0003541442560121344
reglement_interieur_dans,-0.000333817490910715
Titre_bis,-0.00031913955540444625
fiche_securite,-0.0003141283061319111
reglement_interieur_fait,-0.00031315835730048034
Titre_sur,-0.00030121520036441307
reglement_interieur_immeuble,-0.00028492999713669587
reglement_interieur_si,-0.0002249297907810144
Ascenseur,-0.00021784589284563617
reglement_interieur_fumer,-0.00021494569554242338
reglement_interieur_convient,-0.00020913114126861477
Titre_hypercentre,-0.0001926922294910649
reglement_interieur_avec,-0.0001832107974951036
reglement_interieur_je,-0.00018225123625827954
Titre_une,-0.0001776254367005903
Titre_la,-0.00017406504781506405
Internet,-0.00016497561299555485
Titre_st,-0.0001610176379546968
Titre_pour,-0.00015759624203064425
Titre_gare,-0.00015515721391369254
Titre_quartier,-0.00015038328647749567
reglement_interieur_00,-0.00011408970189751289
pourEnfants_famille,-0.00011308504007793153
petit_dejeuner,-0.0001117910091161245
Titre_bordelaise,-0.00010341429099076649
monoxyde_carbone_detect,-9.643604769891124e-05
reglement_interieur_fumeurs,-9.620263651136663e-05
Piscine,-9.554229877134501e-05
Titre_appt,-9.38412649520659e-05
Titre_charme,-8.767072170083879e-05
reglement_interieur_voisinage,-7.858555066034834e-05
reglement_interieur_sur,-7.653864999991322e-05
Titre_petite,-7.476272575014375e-05
reglement_interieur_arrivée,-6.934855323508238e-05
Titre_chartrons,-6.337342206050867e-05
Titre_avec,-5.86168922304009e-05
reglement_interieur_ou,-4.997161482297452e-05
Titre_vue,-4.879453249708732e-05
Titre_privée,-4.84715688374826e-05
Titre_t1,-4.477719608237951e-05
Titre_triangle,-4.4526642408582175e-05
Titre_duplex,-4.2343128785138354e-05
Titre_magnifique,-4.189266377853107e-05
reglement_interieur_sont,-3.3567924704458464e-05
reglement_interieur_ils,-3.281366867167179e-05
reglement_interieur_propreté,-2.99848365322819e-05
reglement_interieur_qui,-2.9742853297809457e-05
Titre_historique,-2.9723902338008034e-05
reglement_interieur_ce,-2.7281881666363363e-05
reglement_interieur_séjour,-2.0860562103752755e-05
reglement_interieur_état,-1.6893633556946952e-05
reglement_interieur_appartement,-1.6603630130018755e-05
reglement_interieur_personnes,-1.5206960652669466e-05
Titre_bordelais,-1.371420173030824e-05
reglement_interieur_possibilité,-1.359719101210466e-05
reglement_interieur_qu,-1.3306758388753614e-05
reglement_interieur_cas,-1.1668545808896092e-05
Titre_confortable,-9.73197188237629e-06
Titre_superbe,-8.763337738193488e-06
kit_secours,-7.79983291933073e-06
Animal_sur_place,-7.1413047489476965e-06
Titre_spacieux,-5.368922627069228e-06
Portier,-3.961515151928996e-06
Titre_agréable,-1.3899703894204586e-06
reglement_interieur_location,0.0
reglement_interieur_locataire,0.0
Titre_pièces,0.0
reglement_interieur_autrement,0.0
Titre_piscine,0.0
reglement_interieur_remise,0.0
Titre_quais,0.0
reglement_interieur_même,0.0
Titre_salle,0.0
Titre_situé,0.0
reglement_interieur_retard,0.0
reglement_interieur_jours,0.0
Titre_bdx,0.0
Titre_t4,0.0
reglement_interieur_acceptés,0.0
Titre_tout,0.0
Titre_tram,0.0
Titre_center,0.0
Titre_rénové,0.0
reglement_interieur_avant,0.0
Titre_lumineux,0.0
Titre_neuf,0.0
reglement_interieur_nombre,0.0
reglement_interieur_nos,0.0
Titre_flat,0.0
Titre_gambetta,0.0
reglement_interieur_donc,0.0
Titre_confort,0.0
Titre_jean,0.0
reglement_interieur_contrat,0.0
reglement_interieur_pourra,0.0
reglement_interieur_30,0.0
reglement_interieur_bordeaux,0.0
Titre_les,0.0
reglement_interieur_faire,4.092443098291376e-07
reglement_interieur_au,2.5601396674179712e-06
reglement_interieur_propre,4.2552644731963515e-06
Titre_et,5.094745477018936e-06
reglement_interieur_non,6.9298533698969326e-06
Titre_michel,7.728328032585718e-06
reglement_interieur_une,9.09674210638478e-06
Titre_ville,1.0512135127882517e-05
Titre_jolie,1.1624762205042494e-05
reglement_interieur_mais,1.2314167690385958e-05
reglement_interieur_par,2.251108097678367e-05
fer_repasser,3.060191966002268e-05
Titre_plein,3.266224884793667e-05
reglement_interieur_supplément,3.490679707027766e-05
reglement_interieur_plus,3.5533602267767694e-05
reglement_interieur_logement,3.6553612174905495e-05
reglement_interieur_doit,3.6773765877839984e-05
Titre_pierre,3.885624148263212e-05
Titre_room,3.921746159963879e-05
reglement_interieur_être,4.133264524541769e-05
reglement_interieur_respecter,4.528237807405189e-05
Titre_m2,4.846273723524419e-05
Titre_public,6.297923608087342e-05
Titre_beau,6.501569101743376e-05
Titre_en,6.522493307666854e-05
parking_sur-place,6.831473481411221e-05
reglement_interieur_apartment,6.861125476694818e-05
reglement_interieur_ménage,7.390660013290029e-05
reglement_interieur_votre,7.772836681241291e-05
Titre_hyper,7.956743268238143e-05
reglement_interieur_pour,9.081795513665725e-05
reglement_interieur_demande,9.401710974249466e-05
reglement_interieur_que,9.662818543250129e-05
reglement_interieur_il,0.00010058188019331781
Titre_appart,0.00010491409160164888
Titre_très,0.00011618694160514531
Titre_ancien,0.00012128187963427184
Titre_t3,0.0001280119949908176
reglement_interieur_sera,0.0001315442831878122
reglement_interieur_maison,0.00013249809657330802
Entree_24-24,0.0001370022629395118
reglement_interieur_lieux,0.0001460017413823733
Titre_saint,0.00014639007905865588
produits_base,0.00014744041328613734
Titre_balcon,0.00014913723071839912
Titre_charmant,0.00015643626380330567
reglement_interieur_possible,0.00015843888340570932
reglement_interieur_nous,0.0001634365668770399
Titre_calme,0.00016467203318757396
reglement_interieur_la,0.00017445436395292503
accessibilite,0.0001755696737432033
wifi,0.00017818850756292636
Titre_coeur,0.00019125475736759824
Titre_deux,0.00019419839578408427
Titre_place,0.00019883385619550164
Titre_grande,0.00020624936869222398
reglement_interieur_bien,0.00021083475609520174
Titre_parking,0.00021828089226236803
reglement_interieur_20,0.0002195109002579021
Titre_joli,0.00022491727929295767
reglement_interieur_enfants,0.00023487064638423317
Titre_cosy,0.0002362304718841468
Titre_t2,0.00023858986247820012
reglement_interieur_fumeur,0.00024251553087653032
Titre_grand,0.0002484049012313028
Titre_jardin,0.0002551651430443558
Cintres,0.0002662346647808067
Titre_des,0.00027618438635320655
reglement_interieur_départ,0.0003610423130855023
reglement_interieur_animaux,0.000412491827201189
Titre_centre,0.00043314968272223364
Titre_victoire,0.0004654351101599619
Titre_échoppe,0.000469422449347412
Titre_maison,0.00047325096463703977
Titre_le,0.0004826314840494894
reglement_interieur_15,0.0004968017534120461
Titre_petit,0.0005017537670312433
reglement_interieur_ni,0.0005100304721248783
Titre_euro,0.0005110989682573508
adapte_evenements,0.0005751911333247483
reglement_interieur_est,0.0005988345461573008
Titre_terrasse,0.0006027256298130057
reglement_interieur_bébés,0.0006690581396239792
type_lit,0.0007037606187833667
reglement_interieur_ne,0.0007138993682963446
reglement_interieur_merci,0.0007373203085327517
Interphone,0.0007807288397031597
Titre_proche,0.0008067744953949907
Titre_aux,0.0008198343714413304
reglement_interieur_ans,0.0008415763291112488
reglement_interieur_le,0.0009340937482951838
Titre_du,0.0011171707074978054
reglement_interieur_12,0.001174386612681899
reglement_interieur_des,0.0012268524183319252
cheminee_interieur,0.0013292440273805274
Titre_appartement,0.0013900104968532223
reglement_interieur_16,0.0015103952895432094
Titre_loft,0.001560765870120262
reglement_interieur_respect,0.001569230138797262
reglement_interieur_pas,0.0016547122504923296
reglement_interieur_fête,0.0017787270380679732
reglement_interieur_14,0.0017894475466775695
duree_minimale_sejour,0.0018417293107915289
Climatisation,0.0021387074745224167
seche_linge,0.0026753320350357047
television_cable,0.003266019802186293
machine_laver,0.0032931847525116574
logement_fumeur,0.0036964578270150096
Cuisine,0.003780099088154254
rection_semaine,0.004006712611981966
reduction_mois,0.004639426847277117
television,0.00528654910062093
Titre_studio,0.007917120003765831
frais_menage,0.009866352053363614
type_propriete,0.010655937481037825
Longitude,0.011585618115556529
Latitude,0.0142563156685103
surcout_voyageur_supp,0.023857725798661834
Caution,0.028668445750977923
NombreSdB,0.03281352923799581
Type_logement,0.06756579524811218
Capacite_accueil,0.13304748592659915
NbChambres,0.19109652571099733
