feature,mean_importance
television_cable,-0.001966264187155453
Titre_bel,-0.001576403439041818
reglement_interieur_aux,-0.0013130856065780682
reglement_interieur_bien,-0.0011745299731002578
Titre_chartrons,-0.001167455984863508
Titre_le,-0.0011477616402040813
reglement_interieur_du,-0.0010791377057146278
Titre_pièces,-0.0009040739277708987
Titre_petit,-0.0008172530748368323
Titre_avec,-0.0007631040222576102
Titre_agréable,-0.0006408113727965681
reglement_interieur_il,-0.0005061428967547798
reglement_interieur_départ,-0.0005012186005656782
reglement_interieur_que,-0.000491980835013417
reglement_interieur_personnes,-0.0004677749039911916
Titre_une,-0.0004547379036230148
Titre_centre,-0.0004171701864746469
reglement_interieur_en,-0.00041359120025974416
Titre_apt,-0.0003715904576961471
Titre_vue,-0.0003712757021734125
reglement_interieur_plus,-0.000327899521227093
Titre_deux,-0.00032654234520457237
Jacuzzi,-0.000314319425344034
reglement_interieur_fête,-0.000312154577700674
Titre_cœur,-0.00030151993996194724
reglement_interieur_possible,-0.0003004355079954668
reglement_interieur_bébés,-0.0002863812259701337
Titre_tout,-0.00026711457191485043
reglement_interieur_heure,-0.00024435206102829676
fer_repasser,-0.00024039588478622643
accessibilite,-0.0002361751635529763
Titre_plein,-0.00023120308938612277
porte_chambre_verrou,-0.00021781167227769016
Titre_au,-0.00021436316599757755
Titre_sur,-0.00021119748041491525
reglement_interieur_non,-0.0002073762296780135
Titre_parking,-0.0001953434717967828
Titre_balcon,-0.00018637601355832035
Titre_des,-0.00014673859239260344
Titre_grand,-0.00014272440543553478
reglement_interieur_immeuble,-0.00014264926117646404
reglement_interieur_sont,-0.00014003037022526367
Titre_et,-0.0001352561348642034
reglement_interieur_soirée,-0.00012958427153035855
kit_secours,-0.0001292177786537785
Ascenseur,-0.0001226003829226774
pourEnfants_famille,-0.00010220352804903853
reglement_interieur_sur,-9.597539541581491e-05
Titre_en,-8.99264710607639e-05
fiche_securite,-8.57832220707011e-05
reglement_interieur_si,-8.404546752679431e-05
NbLits,-7.829820863517468e-05
Titre_hyper,-7.722644314941406e-05
reglement_interieur_faire,-7.708399227417395e-05
Titre_terrasse,-7.49615212966792e-05
reglement_interieur_qui,-7.351188303849066e-05
produits_base,-6.63265030057425e-05
reglement_interieur_cas,-6.0696417608951946e-05
Chauffage,-5.852318171331028e-05
reglement_interieur_ils,-5.679871339718812e-05
Titre_bdx,-5.2896963722781634e-05
Titre_hypercentre,-4.908266616479029e-05
Titre_privée,-4.694070953071838e-05
reglement_interieur_même,-4.6534793691543896e-05
Titre_jolie,-4.1858349767465165e-05
Titre_rénové,-3.903594955817491e-05
Titre_spacieux,-3.8889875407577265e-05
Titre_appart,-3.790015894361565e-05
reglement_interieur_avant,-3.5964944451138956e-05
Titre_les,-3.5352503731467254e-05
reglement_interieur_fumeurs,-3.3291614144093094e-05
reglement_interieur_est,-3.0173605393024604e-05
reglement_interieur_disposition,-2.5851081569927547e-05
reglement_interieur_par,-2.5642654151114552e-05
Titre_public,-2.2747321637550667e-05
reglement_interieur_avec,-1.5787971059699756e-05
Titre_pierre,-1.3936192952757054e-05
reglement_interieur_jours,-1.067491641167928e-05
Titre_duplex,-1.0438499358522701e-05
reglement_interieur_je,-1.0116163146189905e-05
reglement_interieur_bordeaux,-9.52142751290408e-06
Titre_t4,-6.356660856565721e-06
reglement_interieur_logement,-5.361632790890081e-06
reglement_interieur_notre,-4.119141202529874e-06
Titre_pour,-3.2925457530086356e-06
reglement_interieur_mais,-2.6803437073508184e-06
Titre_t3,-1.0859969523324687e-06
reglement_interieur_fait,-3.072225573830245e-07
reglement_interieur_convient,-2.9328777411130603e-07
reglement_interieur_propre,-8.7131994286338e-08
Titre_neuf,0.0
Titre_rue,0.0
Titre_lumineux,0.0
reglement_interieur_30,0.0
Titre_superbe,0.0
Titre_michel,0.0
reglement_interieur_supplément,0.0
Titre_personnes,0.0
Titre_quais,0.0
reglement_interieur_pourra,0.0
reglement_interieur_qu,0.0
reglement_interieur_retard,0.0
reglement_interieur_état,0.0
reglement_interieur_possibilité,0.0
Titre_la,0.0
Titre_situé,0.0
