feature,mean_importance
reglement_interieur_ni,-0.00233891598265028
Titre_proche,-0.0009749443091566556
Titre_appartement,-0.0007374976678103717
reglement_interieur_il,-0.0005914302358215662
Titre_t1,-0.0005115607733350847
wifi,-0.0004527350740561431
reglement_interieur_animaux,-0.00043798969913861897
Titre_cosy,-0.0003442195013026561
Titre_quartier,-0.00034293457204676026
salle_sport,-0.0003426126456865908
Titre_aux,-0.00032064825065223344
adapte_evenements,-0.0002897354433379351
NbLits,-0.0002402318513054391
reglement_interieur_00,-0.0002389616055474719
Internet,-0.00023584117332835496
produits_base,-0.0002248034626632811
reglement_interieur_nous,-0.00022195564390896648
Titre_le,-0.00020106300366030673
Chauffage,-0.00019924973494092057
reglement_interieur_convient,-0.0001780990614251854
parking_sur-place,-0.00016664480873800346
reglement_interieur_des,-0.0001640122345080819
Entree_24-24,-0.00016163598672014334
Titre_au,-0.00014157603207559655
reglement_interieur_propreté,-0.00013879290243371534
reglement_interieur_la,-0.0001303161903166594
Titre_euro,-0.00011955925344546703
extincteur,-0.00011692422178061213
Titre_chartrons,-9.915796782459241e-05
reglement_interieur_logement,-9.689602414265641e-05
Titre_sur,-9.364261383667526e-05
Titre_privée,-9.301262938089527e-05
Titre_ancien,-7.998210713217047e-05
Titre_belle,-7.47938598856801e-05
reglement_interieur_sont,-7.465360784375541e-05
Titre_bis,-7.334091432634749e-05
reglement_interieur_votre,-7.247878059728486e-05
reglement_interieur_fait,-6.372743131431991e-05
reglement_interieur_autrement,-5.320296937803004e-05
Titre_m2,-5.299245850053369e-05
reglement_interieur_bébés,-4.441366790417511e-05
Titre_t2,-4.211371849975887e-05
reglement_interieur_immeuble,-4.20954057524292e-05
Titre_plein,-4.178400937642213e-05
reglement_interieur_20,-3.983538497508432e-05
Titre_charme,-3.938263175652379e-05
Titre_grande,-3.7315331513188e-05
reglement_interieur_doit,-3.465437815610706e-05
reglement_interieur_possibilité,-3.437268248833725e-05
reglement_interieur_au,-3.187138217894958e-05
reglement_interieur_locataire,-3.181056407635108e-05
reglement_interieur_remise,-3.135969333381006e-05
reglement_interieur_bordeaux,-2.2804058421199702e-05
reglement_interieur_location,-2.191789068436423e-05
detecteur_fumee,-2.0284311356755236e-05
Titre_joli,-1.8918175745752387e-05
reglement_interieur_arrival,-1.3054855392491405e-05
reglement_interieur_est,-1.2502895150268146e-05
Titre_triangle,-1.2212079745343996e-05
reglement_interieur_soirée,-1.1016987884626683e-05
Titre_pièces,-1.100661174499029e-05
reglement_interieur_acceptés,-9.427881704826557e-06
reglement_interieur_pour,-7.16505400744083e-06
reglement_interieur_fumeurs,-5.391612638061538e-06
Titre_apt,-3.7649012392559912e-06
Titre_place,-3.736984920399422e-06
reglement_interieur_du,-3.605492537017696e-06
Titre_petit,-2.723904393153731e-07
Titre_michel,0.0
Titre_spacieux,0.0
Titre_neuf,0.0
reglement_interieur_arrivée,0.0
Titre_la,0.0
Titre_jolie,0.0
Titre_jean,0.0
Titre_hypercentre,0.0
Titre_magnifique,0.0
Titre_les,0.0
Titre_petite,0.0
Titre_parking,0.0
Titre_historique,0.0
Titre_rénové,0.0
Titre_t4,0.0
Titre_tout,0.0
Titre_tram,0.0
Titre_quais,0.0
Titre_très,0.0
reglement_interieur_contrat,0.0
Titre_public,0.0
Titre_une,0.0
Titre_pour,0.0
Titre_ville,0.0
Titre_échoppe,0.0
Titre_piscine,0.0
Titre_superbe,0.0
reglement_interieur_demande,0.0
reglement_interieur_état,0.0
Titre_situé,0.0
reglement_interieur_avant,0.0
Titre_agréable,0.0
Titre_bordelais,0.0
reglement_interieur_possible,0.0
Titre_bdx,0.0
Ascenseur,0.0
reglement_interieur_jours,0.0
Titre_appt,0.0
reglement_interieur_ses,0.0
reglement_interieur_ou,0.0
Animal_sur_place,0.0
reglement_interieur_même,0.0
Portier,0.0
Jacuzzi,0.0
reglement_interieur_nombre,0.0
porte_chambre_verrou,0.0
fiche_securite,0.0
reglement_interieur_personnes,0.0
Interphone,0.0
pourEnfants_famille,0.0
Titre_bordelaise,0.0
Titre_center,0.0
Titre_gare,0.0
Titre_flat,0.0
Titre_duplex,0.0
reglement_interieur_faire,0.0
reglement_interieur_voisinage,0.0
reglement_interieur_propre,0.0
Titre_double,0.0
Titre_confort,0.0
reglement_interieur_une,0.0
reglement_interieur_séjour,0.0
reglement_interieur_supplément,0.0
Titre_vue,6.629145154479765e-07
Titre_deux,1.970993442401703e-06
reglement_interieur_ans,2.5552892939706417e-06
Titre_jardin,6.66736276434543e-06
reglement_interieur_nos,8.321544404765734e-06
reglement_interieur_cas,1.1775182616580171e-05
reglement_interieur_en,1.9366026861256103e-05
Titre_saint,2.2592993988157506e-05
reglement_interieur_par,2.3823922451760016e-05
Titre_en,2.6294264095394482e-05
Titre_confortable,3.1821948637822395e-05
reglement_interieur_plus,3.934874831036383e-05
reglement_interieur_30,3.992980241434019e-05
Titre_bordeaux,4.158190779703919e-05
reglement_interieur_je,4.3493492481738724e-05
Titre_grand,4.583438583141142e-05
reglement_interieur_mais,4.686251646771611e-05
Titre_terrasse,4.9418708100867906e-05
reglement_interieur_appartement,5.052917948968894e-05
Titre_pierre,5.1411581536331405e-05
kit_secours,5.516469229445153e-05
Titre_hyper,5.548191568757188e-05
reglement_interieur_donc,5.616348644248426e-05
reglement_interieur_entrée,5.9968197169268934e-05
Titre_cœur,6.511241589813865e-05
Titre_balcon,6.541537372241057e-05
reglement_interieur_ils,6.934011680203023e-05
Titre_st,7.552422645573653e-05
reglement_interieur_fumer,7.645930048857385e-05
reglement_interieur_fête,7.65065764905537e-05
Titre_room,7.835122698020003e-05
reglement_interieur_respect,8.364128548572491e-05
reglement_interieur_pourra,8.399117064169514e-05
reglement_interieur_sera,8.658447223566234e-05
reglement_interieur_ne,9.112537526159147e-05
reglement_interieur_départ,9.218785682842955e-05
Titre_coeur,9.268524763892395e-05
Titre_charmant,9.813009168742059e-05
reglement_interieur_retard,0.00010354537839225575
reglement_interieur_être,0.0001146019017935096
conditions_annulation,0.00012094829809272678
Titre_2016,0.0001282298565931761
reglement_interieur_et,0.0001473710464866551
Titre_des,0.00015107958388604903
reglement_interieur_fumeur,0.00015450692617596795
reglement_interieur_respecter,0.0001667971572727023
reglement_interieur_sur,0.00016730241573242877
reglement_interieur_que,0.00016861694715987198
Titre_beau,0.0001692675600249105
reglement_interieur_apartment,0.0001706115276198572
Titre_calme,0.00017611923523292995
Titre_lumineux,0.0001791458155048664
Titre_appart,0.00018242004450887971
Titre_et,0.00019524379020167127
Titre_avec,0.00020587954761783767
reglement_interieur_qui,0.00022085732940874125
reglement_interieur_avec,0.00022259819209913267
reglement_interieur_si,0.00023018546577592281
reglement_interieur_se,0.0002311181293912945
reglement_interieur_lieux,0.00023441100979737506
reglement_interieur_heure,0.0002593413804438671
accessibilite,0.00029412370798892473
reglement_interieur_qu,0.00029936307280077347
Titre_t3,0.00029962556603015946
Titre_maison,0.00030029557373908446
Cintres,0.0003060182202752615
Titre_victoire,0.00030691670819947835
reglement_interieur_aux,0.00033897154238017314
petit_dejeuner,0.000340464436368737
Titre_centre,0.00038100358156901716
monoxyde_carbone_detect,0.00045066694741200395
seche_linge,0.0004965236366521131
reglement_interieur_ce,0.0005015684078322647
Titre_bel,0.0005136759721887541
fer_repasser,0.0005211800422182389
reglement_interieur_enfants,0.0005270331233329761
reglement_interieur_dans,0.0005376054443629097
reglement_interieur_ménage,0.0005388093675087636
animaux_acceptes,0.0005433570649417185
reglement_interieur_non,0.0005697807291130452
reglement_interieur_15,0.0006162559701357373
espace_travail_ordi,0.0006436756964641633
reglement_interieur_après,0.0006458665868517399
Titre_dans,0.0006540952307901415
cheminee_interieur,0.0007187446452143643
reglement_interieur_pas,0.0007666497274901208
reglement_interieur_vous,0.0007844745132961183
seche_cheveux,0.0008329276520766982
reglement_interieur_12,0.0008988248911193763
reglement_interieur_merci,0.0009359094749401664
reglement_interieur_maison,0.0009803900124718211
Titre_chambres,0.0010486378536432306
Titre_du,0.001052957877050853
reglement_interieur_les,0.001117655673709006
television_cable,0.0011292276620431863
reglement_interieur_14,0.0012873400320155826
reglement_interieur_le,0.0013390916988940571
rection_semaine,0.0016746817441406602
Cuisine,0.0017075081593538877
type_lit,0.0017565956813442197
Titre_loft,0.00184033252215835
machine_laver,0.002373256487712616
Piscine,0.0023755393086017373
reduction_mois,0.002453955983081657
Climatisation,0.0024646014870634224
type_propriete,0.0028031041323291483
Titre_chambre,0.003179895392092247
television,0.004671348916852769
duree_minimale_sejour,0.0048796333529644185
logement_fumeur,0.005027350245164264
Titre_studio,0.005430329833433889
Longitude,0.007242646832034705
Titre_echoppe,0.009414967833960886
frais_menage,0.010226136401177255
NombreSdB,0.011149630034482272
Latitude,0.019174437658549714
surcout_voyageur_supp,0.02860373501428427
Caution,0.035585708726624046
Type_logement,0.06596497712794697
Capacite_accueil,0.08871615270039833
NbChambres,0.15550448747880075
