feature,mean_importance
Titre_le,-0.0028741112489074406
logement_fumeur,-0.0026265717976328264
Titre_double,-0.002346605344933106
reglement_interieur_ni,-0.0019826411369212706
Titre_jardin,-0.0012402135201931119
Titre_bordeaux,-0.0012378729256243282
reglement_interieur_16,-0.001191974703449794
reglement_interieur_votre,-0.0009317596124721495
wifi,-0.0008030940788677609
Entree_24-24,-0.0007608665791876912
reglement_interieur_dans,-0.0007581044536484449
reglement_interieur_00,-0.0006762678842840208
Cintres,-0.0006753911359692833
extincteur,-0.0006545543602910264
reglement_interieur_la,-0.0006206280871747794
rection_semaine,-0.0006060056098018407
reglement_interieur_non,-0.0005118211638211912
parking_sur-place,-0.000511422353749369
reglement_interieur_du,-0.0004573515391173122
Ascenseur,-0.0004345495673479416
reglement_interieur_fête,-0.0004268620000964174
reglement_interieur_sont,-0.00035089424165438696
Titre_cœur,-0.00034537083174863704
reglement_interieur_fumeur,-0.0003441257266478592
reglement_interieur_lieux,-0.00032665066924786323
Titre_charme,-0.00032361677675694087
reglement_interieur_propreté,-0.00030020253871273497
Titre_appart,-0.00029897713408252315
reglement_interieur_soirée,-0.0002902194268347813
reglement_interieur_15,-0.0002898580450934607
Titre_beau,-0.00028710070365970395
reglement_interieur_fumer,-0.00027744056841519924
Titre_privée,-0.00027598159830948265
porte_chambre_verrou,-0.00026724688406299936
Titre_echoppe,-0.00025350930771620426
reglement_interieur_est,-0.00023919774052804098
espace_travail_ordi,-0.00021094062922289992
reglement_interieur_être,-0.00019113299636888125
reglement_interieur_bébés,-0.0001610238725067381
seche_cheveux,-0.00016053426269844185
fer_repasser,-0.00014431275299859881
Titre_t3,-0.00014326412072743767
reglement_interieur_convient,-0.00014065513541291485
reglement_interieur_que,-0.00013026239646637405
reglement_interieur_appartement,-0.00012571941537427024
Titre_bordelais,-0.00011846662466042934
Titre_quartier,-0.00011086868369210023
Titre_en,-0.00010989473908550318
Titre_hypercentre,-0.00010967135542729877
reglement_interieur_maison,-9.729075271038833e-05
Titre_t2,-9.029158767915879e-05
reglement_interieur_arrivée,-8.713960540933652e-05
Titre_m2,-8.093325731896028e-05
Titre_chambres,-7.957870120937072e-05
reglement_interieur_possible,-7.765856576783526e-05
Titre_des,-7.751184199397131e-05
Titre_cosy,-7.09407121891048e-05
reglement_interieur_une,-6.518119795735355e-05
Titre_michel,-6.20927398526816e-05
reglement_interieur_mais,-5.849588297752728e-05
Titre_confort,-5.663424308122167e-05
reglement_interieur_voisinage,-5.5315795262600444e-05
Titre_victoire,-5.292848049595067e-05
reglement_interieur_vous,-5.247799742333914e-05
Titre_pièces,-5.1042759071162626e-05
reglement_interieur_14,-5.069926547990322e-05
reglement_interieur_locataire,-4.885709372881575e-05
Titre_piscine,-4.800994626806832e-05
Titre_vue,-4.4966921878408785e-05
Titre_jean,-4.3679636062032844e-05
Titre_petit,-3.8285781417868316e-05
reglement_interieur_ils,-3.448393775632441e-05
reglement_interieur_qu,-3.073289019727144e-05
reglement_interieur_20,-3.0230187108593044e-05
Titre_lumineux,-2.8672041216681875e-05
reglement_interieur_si,-1.925787580357996e-05
reglement_interieur_demande,-1.701256397138584e-05
Portier,-1.2447757800604365e-05
Titre_balcon,-4.85484778404155e-06
Titre_avec,-4.458757685477099e-06
Internet,-1.9530611456763935e-06
Titre_place,-1.3510668396610192e-06
Titre_la,0.0
Titre_tout,0.0
Titre_jolie,0.0
reglement_interieur_logement,0.0
reglement_interieur_même,0.0
Titre_les,0.0
reglement_interieur_location,0.0
reglement_interieur_nos,0.0
Jacuzzi,0.0
Titre_superbe,0.0
Titre_pour,0.0
Titre_spacieux,0.0
Titre_quais,0.0
salle_sport,0.0
Titre_situé,0.0
Titre_rue,0.0
Titre_neuf,0.0
Titre_triangle,0.0
Titre_très,0.0
Titre_une,0.0
Titre_rénové,0.0
reglement_interieur_bordeaux,0.0
reglement_interieur_autrement,0.0
Titre_capucins,0.0
Titre_center,0.0
reglement_interieur_ce,0.0
reglement_interieur_acceptés,0.0
reglement_interieur_30,0.0
reglement_interieur_qui,0.0
Titre_apt,0.0
Titre_bis,0.0
Titre_appt,0.0
reglement_interieur_retard,0.0
reglement_interieur_sera,0.0
Titre_agréable,0.0
Titre_gare,0.0
Titre_gambetta,0.0
reglement_interieur_donc,0.0
Titre_euro,0.0
Titre_salle,0.0
reglement_interieur_supplément,0.0
Titre_duplex,0.0
reglement_interieur_personnes,0.0
Titre_ville,1.4742165456937962e-06
reglement_interieur_immeuble,5.0553675295605945e-06
Titre_t4,7.222533895667738e-06
Titre_st,7.634665490829917e-06
reglement_interieur_possibilité,7.901283987521434e-06
Titre_joli,8.011427988852127e-06
reglement_interieur_fumeurs,1.1195733645386063e-05
Titre_public,1.3609452627261209e-05
reglement_interieur_séjour,1.4089609497291989e-05
kit_secours,1.5878676865721532e-05
Titre_pierre,1.6903661602984953e-05
reglement_interieur_ne,1.7291634233129737e-05
reglement_interieur_sur,1.8700439252072876e-05
Titre_belle,2.1471803143857658e-05
Animal_sur_place,2.325572809290799e-05
reglement_interieur_ou,2.4033845658011365e-05
reglement_interieur_état,2.4060326622732387e-05
reglement_interieur_propre,2.6350589174983784e-05
Titre_t1,2.7826001692821123e-05
Titre_chez,2.9147117132899413e-05
reglement_interieur_pourra,3.150526139357179e-05
Titre_2016,3.3758107685299965e-05
reglement_interieur_notre,3.530889037385298e-05
reglement_interieur_disposition,3.5993933658962086e-05
reglement_interieur_doit,3.878397193225469e-05
Titre_bdx,3.890315514126774e-05
reglement_interieur_avec,3.9811597830452516e-05
Titre_bordelaise,4.066752708751231e-05
Titre_grande,4.069771299876068e-05
reglement_interieur_et,4.345162503176514e-05
Titre_historique,4.527147676717247e-05
Titre_charmant,4.5521353465161064e-05
reglement_interieur_plus,4.876613018970355e-05
reglement_interieur_par,5.090817115742663e-05
Titre_centre,5.760879496085059e-05
reglement_interieur_respecter,6.19624278646036e-05
reglement_interieur_avant,6.562830343118665e-05
reglement_interieur_ans,6.949264523509191e-05
Titre_et,7.015989523063703e-05
reglement_interieur_se,8.264407095226467e-05
reglement_interieur_cas,8.308436578576827e-05
reglement_interieur_bien,8.819398352560848e-05
Titre_charmante,8.963657967651085e-05
reglement_interieur_heure,9.284012555536015e-05
produits_base,0.00010116643994563246
reglement_interieur_12,0.00010254227532244809
Titre_coeur,0.00011161567064923438
Titre_parking,0.00011176479422851937
Titre_calme,0.00011355766362746156
reglement_interieur_en,0.00011805667875458559
Titre_saint,0.00012499131223340232
Titre_bel,0.0001251125632959149
accessibilite,0.00012600315819416563
reglement_interieur_je,0.00013112972465046947
reglement_interieur_au,0.00013583033251119981
reglement_interieur_nombre,0.00013774390861109875
reglement_interieur_enfants,0.00014053604253603247
Titre_échoppe,0.00016135509253897284
Titre_room,0.00016749544085997714
Interphone,0.00017090770133754152
reglement_interieur_apartment,0.00017259211001512397
reglement_interieur_il,0.00017907154560454775
