feature,mean_importance
Titre_proche,-0.0011380907305927335
reglement_interieur_les,-0.0007344376466721814
reglement_interieur_animaux,-0.0006063857766475334
reglement_interieur_lieux,-0.0005628481961988063
Titre_chartrons,-0.0004989115138486877
Titre_quartier,-0.0004828198401912731
reglement_interieur_vous,-0.00041264199622286223
reglement_interieur_du,-0.00038505717854777635
rection_semaine,-0.0003671786486042827
reglement_interieur_dans,-0.00031462227390506304
reglement_interieur_heure,-0.00028367127023437577
Titre_au,-0.00028217616372385736
reglement_interieur_par,-0.00027721109459200033
reglement_interieur_aux,-0.000255911378381124
reglement_interieur_pas,-0.00021549959299846933
extincteur,-0.00021489241200891573
Titre_appartement,-0.0002100207589365577
Entree_24-24,-0.00018101391908407206
reglement_interieur_pour,-0.00017920999710530072
Titre_duplex,-0.00016777083184758013
Titre_bordeaux,-0.0001515978528752182
Chauffage,-0.00015106678346388236
reglement_interieur_plus,-0.00014042806926930495
reglement_interieur_00,-0.00013059272909707876
reglement_interieur_une,-0.00012777590431958252
Titre_jardin,-0.00010797672877395081
reglement_interieur_maison,-0.0001028140583672843
Titre_calme,-7.652756450872155e-05
Titre_maison,-7.427346810051638e-05
reglement_interieur_des,-7.292523314110788e-05
reglement_interieur_au,-6.858560181666196e-05
Titre_joli,-6.530546847370866e-05
reglement_interieur_je,-6.320092533026455e-05
reglement_interieur_20,-6.286555691237261e-05
reglement_interieur_en,-5.701090427959743e-05
reglement_interieur_il,-5.6319539677951444e-05
Cintres,-5.373921497430212e-05
reglement_interieur_voisinage,-4.989330091250688e-05
reglement_interieur_sont,-4.867071194861738e-05
reglement_interieur_faire,-4.7418906515550585e-05
reglement_interieur_appartement,-4.3160260422692166e-05
reglement_interieur_respect,-3.97590379068502e-05
reglement_interieur_nombre,-3.728453910492036e-05
parking_sur-place,-3.378213382262407e-05
Titre_et,-2.7847211866793843e-05
reglement_interieur_se,-2.050315128844238e-05
Internet,-1.8159140906826023e-05
Titre_lumineux,-1.5395217154745565e-05
wifi,-8.875419493981073e-06
reglement_interieur_bébés,-8.758822030541235e-06
reglement_interieur_logement,-8.07007943778304e-06
reglement_interieur_ni,-6.144597925261674e-06
fer_repasser,-5.521376772443798e-06
Titre_plein,-4.513190519139787e-06
reglement_interieur_séjour,-4.368800736376244e-06
reglement_interieur_immeuble,-2.3157119938943536e-06
Titre_t4,0.0
Titre_rénové,0.0
reglement_interieur_acceptés,0.0
reglement_interieur_30,0.0
Titre_quais,0.0
Titre_public,0.0
Titre_situé,0.0
Titre_piscine,0.0
Titre_échoppe,0.0
Titre_pièces,0.0
Titre_tram,0.0
Titre_ville,0.0
Titre_une,0.0
Titre_spacieux,0.0
Titre_pour,0.0
Titre_place,0.0
Titre_très,0.0
reglement_interieur_état,0.0
Titre_st,0.0
Titre_triangle,0.0
Titre_room,0.0
Titre_superbe,0.0
Titre_vue,0.0
Titre_tout,0.0
reglement_interieur_départ,0.0
reglement_interieur_arrival,0.0
reglement_interieur_possibilité,0.0
reglement_interieur_possible,0.0
reglement_interieur_pourra,0.0
reglement_interieur_propre,0.0
reglement_interieur_propreté,0.0
reglement_interieur_qu,0.0
reglement_interieur_personnes,0.0
reglement_interieur_qui,0.0
reglement_interieur_retard,0.0
reglement_interieur_sera,0.0
reglement_interieur_ses,0.0
reglement_interieur_si,0.0
reglement_interieur_supplément,0.0
reglement_interieur_sur,0.0
reglement_interieur_remise,0.0
reglement_interieur_ou,0.0
reglement_interieur_nos,0.0
reglement_interieur_même,0.0
reglement_interieur_arrivée,0.0
reglement_interieur_autrement,0.0
reglement_interieur_avant,0.0
reglement_interieur_bordeaux,0.0
reglement_interieur_cas,0.0
reglement_interieur_ce,0.0
reglement_interieur_contrat,0.0
reglement_interieur_doit,0.0
Titre_pierre,0.0
reglement_interieur_fumeurs,0.0
reglement_interieur_ils,0.0
reglement_interieur_jours,0.0
reglement_interieur_locataire,0.0
reglement_interieur_location,0.0
reglement_interieur_mais,0.0
reglement_interieur_apartment,0.0
Titre_petite,0.0
reglement_interieur_être,0.0
Titre_appt,0.0
Titre_bdx,0.0
Jacuzzi,0.0
salle_sport,0.0
Titre_double,0.0
Titre_deux,0.0
porte_chambre_verrou,0.0
Titre_2016,0.0
Titre_agréable,0.0
Titre_ancien,0.0
Titre_cœur,0.0
Titre_appart,0.0
Titre_confortable,0.0
Titre_confort,0.0
Titre_petit,0.0
Titre_apt,0.0
Titre_charmant,0.0
Titre_chambres,0.0
Titre_balcon,0.0
Titre_center,0.0
Titre_bordelaise,0.0
Titre_bordelais,0.0
Titre_bis,0.0
Titre_belle,0.0
Titre_en,0.0
Titre_euro,0.0
Titre_echoppe,0.0
Portier,0.0
Titre_les,0.0
Titre_le,0.0
Titre_la,0.0
Titre_m2,0.0
Titre_jolie,0.0
Titre_flat,0.0
Titre_jean,0.0
Titre_hypercentre,0.0
Animal_sur_place,0.0
Titre_hyper,0.0
Titre_grande,0.0
accessibilite,0.0
Titre_magnifique,0.0
Titre_grand,0.0
Titre_michel,0.0
Titre_neuf,0.0
Titre_gare,0.0
Titre_historique,0.0
Titre_saint,9.195194043520872e-07
Titre_centre,1.0088142976649728e-06
Ascenseur,9.728186262791816e-06
Interphone,1.4116888775750347e-05
reglement_interieur_entrée,1.5534544524509197e-05
Titre_t1,1.6359980305113984e-05
Titre_t3,2.4294995740192782e-05
Titre_privée,2.908589953736218e-05
Titre_charme,3.0789645411255506e-05
Titre_beau,3.2046728203560804e-05
reglement_interieur_demande,3.6759329234437034e-05
conditions_annulation,4.5171778257901976e-05
Titre_parking,4.830546690292037e-05
Titre_coeur,5.521086369359995e-05
fiche_securite,5.695709969476548e-05
detecteur_fumee,6.661639972540545e-05
reglement_interieur_respecter,7.16328875105976e-05
adapte_evenements,7.749410627265752e-05
produits_base,7.847470427246872e-05
reglement_interieur_fumeur,8.955009793030211e-05
reglement_interieur_fait,8.987454551347973e-05
reglement_interieur_après,9.426984566379693e-05
reglement_interieur_fumer,0.00010304783915358052
Titre_victoire,0.00010475152380565734
reglement_interieur_enfants,0.00010811671892091423
Titre_t2,0.00010901014619087989
reglement_interieur_soirée,0.00011834682808409269
reglement_interieur_15,0.00011974763998311433
reglement_interieur_votre,0.0001350850378781465
reglement_interieur_non,0.00014843710258751752
Titre_bel,0.000149299041858586
kit_secours,0.00015756545083958073
reglement_interieur_ne,0.00017378894735289307
reglement_interieur_est,0.00017453897972128374
reglement_interieur_que,0.00019306048831321254
reglement_interieur_nous,0.00019486934677206413
reglement_interieur_convient,0.00020755119139636012
Titre_aux,0.00020875470724124323
animaux_acceptes,0.00020922937030817267
reglement_interieur_donc,0.00022256521518759786
petit_dejeuner,0.00023707029740429597
Titre_avec,0.0002613502459947625
reglement_interieur_fête,0.00027851765943097683
Titre_des,0.00029020655720718436
cheminee_interieur,0.00031059675722446836
reglement_interieur_ménage,0.00033598434744072094
machine_laver,0.000343404905823419
Titre_sur,0.00036795956797738285
reglement_interieur_avec,0.00039707225951449707
Titre_chambre,0.0003977175344117012
monoxyde_carbone_detect,0.00040177251502721
NbLits,0.0004079522714558359
pourEnfants_famille,0.00045699178237432745
Titre_cosy,0.0005116223732608671
reglement_interieur_ans,0.0005379722752918203
reglement_interieur_et,0.0005462455670833921
Titre_terrasse,0.0006309995224906717
espace_travail_ordi,0.000718824847619548
seche_linge,0.0007194384310235669
Titre_dans,0.0007542340748125764
reglement_interieur_la,0.0007792108736093595
type_lit,0.000920635064755404
Titre_du,0.0009206668652473549
