dgf_resource_id,is_validated,title,description,topic,task,nb_lines,nb_features,missing_cells_pct,target_variable,model_metric,best_value,best_model,dgf_dataset_id,dgf_dataset_url,dgf_resource_url,automl_url,profile_url,dict_url,etalab_xp_url,external_xp_url,warning_columns,is_analyzed
123e1c18-37e0-4147-ad65-768320387800,VRAI,Liste des logements proposés en Airbnb sur Bordeaux ,"Ce dataset contient un recensement des caractéristiques des logements (prix par nuit, nombre de pièces, services disponibles etc.) proposés par Airbnb à Bordeaux.",Logement,Regression,5237,61,3,PrixNuitee,r2,0.656875,Ensemble,59d30e71b59508043ce9b939,https://www.data.gouv.fr/fr/datasets/liste-des-logements-proposes-en-airbnb-sur-bordeaux/,https://www.data.gouv.fr/fr/datasets/r/123e1c18-37e0-4147-ad65-768320387800,https://etalab-ia.github.io/open_ML/automodels/123e1c18-37e0-4147-ad65-768320387800/README.html,https://etalab-ia.github.io/open_ML/profilings/123e1c18-37e0-4147-ad65-768320387800.html,,https://etalab-ia.github.io/open_ML/notebooks_exp/experiment_airbnb.html,,"{“high_cardinality”:20, “high_correlation”:20}",TRUE
aa50b408-49f4-4608-97fd-dd8fb21ef239,VRAI,Données carroyées issues du dispositif sur les revenus localisés fiscaux et sociaux,"Ces données proviennent du dispositif sur les revenus localisés sociaux et fiscaux (FiLoSoFi) et contiennent des variables sur la structure par âge des individus, sur les caractéristiques des ménages et des logements et sur les revenus de l’année 2015. Ici on se restreint au dataset correspondant à la France métropolitaine.",Démographie/Société,Regression,142921,31,0,Log_soc,r2,0.946354,Linear Regression,5d8e16106f44410332a79994,https://www.data.gouv.fr/en/datasets/donnees-carroyees-issues-du-dispositif-sur-les-revenus-localises-fiscaux-et-sociaux-filosofi/,https://www.insee.fr/fr/statistiques/fichier/4176281/Filosofi2015_carreaux_niveau_naturel_csv.zip,https://etalab-ia.github.io/open_ML/automodels/aa50b408-49f4-4608-97fd-dd8fb21ef239/README.html,https://etalab-ia.github.io/open_ML/profilings/aa50b408-49f4-4608-97fd-dd8fb21ef239.html,https://www.insee.fr/fr/statistiques/4176281?sommaire=4176305#dictionnaire,https://etalab-ia.github.io/open_ML/notebooks_exp/experiment_donnees_carr.html,,,TRUE
6ff09b59-84ca-4346-a8d1-3587ed94da15,VRAI,Emissions de CO2 et de polluants des véhicules commercialisés en France ,"Dans ce dataset, vous trouverez l’ensemble des caractéristiques techniques des véhicules commercialisés en France en 2013, ainsi que les consommations de carburant, les émissions de CO2 et les émissions des polluants de l’air.",Environnement,Regression,44850,26,4.2,CO2,r2,0.998739,Default_Xgboost,53ba4c07a3a729219b7bead3,https://www.data.gouv.fr/en/datasets/emissions-de-co2-et-de-polluants-des-vehicules-commercialises-en-france/,https://www.data.gouv.fr/fr/datasets/r/6ff09b59-84ca-4346-a8d1-3587ed94da15,https://etalab-ia.github.io/open_ML/automodels/6ff09b59-84ca-4346-a8d1-3587ed94da15/README.html,https://etalab-ia.github.io/open_ML/profilings/6ff09b59-84ca-4346-a8d1-3587ed94da15.html,https://www.data.gouv.fr/fr/datasets/r/e4ed13fe-a8c3-41fb-b9a6-73f73da6dc2b,https://etalab-ia.github.io/open_ML/notebooks_exp/experiment_emissions.html,,,TRUE
6af37c98-0933-4ae4-8380-5f63212fb52a,VRAI,Bases de données annuelles des accidents corporels de la circulation routière - Années de 2005 à 2019 ,"Ces datasets répertorient l’intégralité des accidents corporels de la circulation intervenus durant une année précise en France métropolitaine et dans les DOM-TOM. Ces datasets comprennent des informations de localisation de l’accident ainsi que des informations concernant les caractéristiques de l’accident et son lieu, les véhicules impliqués et leurs victimes. Ici nous avons choisi les données de 2019 et nous avons concaténé les datasets disponibles (caractéristique, lieux, véhicule, usager) dans un unique dataset.",Sécurité,Classification,253488,56,7.1,grav,accuracy,0.764817,Ensemble,53698f4ca3a729239d2036df,https://www.data.gouv.fr/en/datasets/bases-de-donnees-annuelles-des-accidents-corporels-de-la-circulation-routiere-annees-de-2005-a-2019/,https://www.data.gouv.fr/fr/datasets/r/e22ba475-45a3-46ac-a0f7-9ca9ed1e283a,https://etalab-ia.github.io/open_ML/automodels/6af37c98-0933-4ae4-8380-5f63212fb52a/README.html,https://etalab-ia.github.io/open_ML/profilings/6af37c98-0933-4ae4-8380-5f63212fb52a.html,https://www.data.gouv.fr/fr/datasets/r/6cade01c-f69d-4779-b0a4-20606069888f,https://etalab-ia.github.io/open_ML/notebooks_exp/experiment_accidents_routiers.html,,,TRUE
c763b24a-a0fe-4e77-9586-3d5453c631cd,VRAI,AGRIBALYSE - Synthèse ,AGRIBALYSE est une base de données de référence des indicateurs d’impacts environnementaux des produits agricoles produits en France et des produits alimentaires consommés en France. Dans ce dataset vous trouverez le recensement des caractéristiques de plusieurs aliments ainsi que les émissions de polluants qui leur sont associés.,Alimentation,Regression,2479,27,0.1,DQR - Note de qualité de la donnée,r2,0.710351,Ensemble,5f71f5eafb2c612abdd0e182,https://www.data.gouv.fr/en/datasets/agribalyse-r-detail-par-ingredient/,https://www.data.gouv.fr/fr/datasets/r/c763b24a-a0fe-4e77-9586-3d5453c631cd,https://etalab-ia.github.io/open_ML/automodels/c763b24a-a0fe-4e77-9586-3d5453c631cd/README.html,https://etalab-ia.github.io/open_ML/profilings/c763b24a-a0fe-4e77-9586-3d5453c631cd.html,https://data.ademe.fr/datasets/agribalyse-synthese,https://etalab-ia.github.io/open_ML/notebooks_exp/experiment_agrybalise.html,,,TRUE
90a98de0-f562-4328-aa16-fe0dd1dca60f,VRAI,Demande de valeurs foncières,"Publié et produit par la direction générale des finances publiques, ce dataset permet de connaître les transactions immobilières intervenues au cours des cinq dernières années sur le territoire métropolitain et les DOM-TOM. On se restreint ici aux données du premier trimetres de 2020.",Logement,Regression,827105,43,56.1,valeur fonciere,r2,0.339495,Decision Tree,5c4ae55a634f4117716d5656,https://www.data.gouv.fr/en/datasets/demandes-de-valeurs-foncieres/,https://www.data.gouv.fr/fr/datasets/r/90a98de0-f562-4328-aa16-fe0dd1dca60f,https://github.com/etalab-ia/open_ML/blob/main/docs/automodels/90a98de0-f562-4328-aa16-fe0dd1dca60f/README.md,https://etalab-ia.github.io/open_ML/profilings/90a98de0-f562-4328-aa16-fe0dd1dca60f.html,https://www.data.gouv.fr/fr/datasets/r/d573456c-76eb-4276-b91c-e6b9c89d6656,https://etalab-ia.github.io/open_ML/notebooks_exp/experiment_dvf.html,,,TRUE
ce203343-6ed9-4fd3-b310-e553ae437f6d,VRAI,Concentration horaire des polluants - Air ambiant - Lig’Air - Orléans Métropole,"Ce dataset contient les concentrations moyennes horaires des principaux polluants réglementés dans l’air sur la région Centre-Val de Loire: monoxyde d’azote NO et dioxyde d’azote NO2, particules en suspension PM10, particules en suspension PM2.5, ozone O3, monoxyde de carbone CO. ",Environnement,Regression,946,18,0,valeur,r2,0.834802,Ensemble,5f88e49399f1c9d2df7ce924,https://www.data.gouv.fr/en/datasets/concentrations-horaires-de-polluants-dans-lair-ambiant-issues-du-reseau-permanent-de-mesures-automatiques-en-region-centre-val-de-loire-2/,https://www.data.gouv.fr/fr/datasets/r/ce203343-6ed9-4fd3-b310-e553ae437f6d,https://etalab-ia.github.io/open_ML/automodels/AutoML_conc_poll_reg/README.html,https://etalab-ia.github.io/open_ML/profilings/ce203343-6ed9-4fd3-b310-e553ae437f6d.html,,https://etalab-ia.github.io/open_ML/notebooks_exp/experiment_concentration_poll.html,,,TRUE
ce203343-6ed9-4fd3-b310-e553ae437f6d,VRAI,Concentration horaire des polluants - Air ambiant - Lig’Air - Orléans Métropole,"Ce dataset contient les concentrations moyennes horaires des principaux polluants réglementés dans l’air sur la région Centre-Val de Loire: monoxyde d’azote NO et dioxyde d’azote NO2, particules en suspension PM10, particules en suspension PM2.5, ozone O3, monoxyde de carbone CO. ",Environnement,Classification,946,18,0,nom_poll,accuracy,0.605714,Ensemble,5f88e49399f1c9d2df7ce924,https://www.data.gouv.fr/en/datasets/concentrations-horaires-de-polluants-dans-lair-ambiant-issues-du-reseau-permanent-de-mesures-automatiques-en-region-centre-val-de-loire-2/,https://www.data.gouv.fr/fr/datasets/r/ce203343-6ed9-4fd3-b310-e553ae437f6d,https://etalab-ia.github.io/open_ML/automodels/AutoML_conc_poll_class/README.html,https://etalab-ia.github.io/open_ML/profilings/ce203343-6ed9-4fd3-b310-e553ae437f6d.html,,https://etalab-ia.github.io/open_ML/notebooks_exp/experiment_concentration_poll.html,,,TRUE
fff0cc27-977b-40d5-9c11-f7e4e79a0b72,VRAI,Résultats des contrôles officiels sanitaires : dispositif d’information « Alim’confiance »,"Ce dataset contient le résultat des contrôles officiels en sécurité sanitaire des aliments réalisés dans tous les établissements de la chaîne alimentaire : abattoirs, commerces de détail (métiers de bouche, restaurants, supermarchés, marchés, vente à la ferme, etc.), restaurants collectifs et établissements agroalimentaires.",Alimentation,Classification,29794,13,0.1,Synthese_eval_sanit,accuracy,0.6490019,Ensemble,5593aab9c751df35d8a453ba,https://www.data.gouv.fr/en/datasets/resultats-des-controles-officiels-sanitaires-dispositif-dinformation-alimconfiance/,https://www.data.gouv.fr/fr/datasets/r/fff0cc27-977b-40d5-9c11-f7e4e79a0b72,https://etalab-ia.github.io/open_ML/automodels/fff0cc27-977b-40d5-9c11-f7e4e79a0b72/README.html,https://etalab-ia.github.io/open_ML/profilings/fff0cc27-977b-40d5-9c11-f7e4e79a0b72.html,,https://etalab-ia.github.io/open_ML/notebooks_exp/experiment_alimconfiance.html,,,TRUE
96f4164d-956d-4c1c-b161-68724eb0ccdc,VRAI,Arbres urbains,"Ce jeu de données comprend des informations sur la localisation, l’espèce, les dimensions, les spécificités et l’état de santé du patrimoine arboré de la commune de Saint-Germain-en-Laye.",Environnement,Classification,709,57,16.2,classification_diagnostic,accuracy,0.901408,Ensemble,602e769382f6b01d4953b641,https://www.data.gouv.fr/fr/datasets/arbres-urbains/,https://www.data.gouv.fr/fr/datasets/r/96f4164d-956d-4c1c-b161-68724eb0ccdc,https://etalab-ia.github.io/open_ML/profilings/96f4164d-956d-4c1c-b161-68724eb0ccdc.html,https://etalab-ia.github.io/open_ML/profilings/96f4164d-956d-4c1c-b161-68724eb0ccdc.html,https://www.data.gouv.fr/fr/datasets/r/feced38e-ca55-43a0-983b-6db0e2632c02,https://etalab-ia.github.io/open_ML/notebooks_exp/experiment_arbres.html,,,TRUE
