feature,shap_importance
NbChambres,0.3056944012641907
Capacite_accueil,0.1598110795021057
Type_logement,0.12730436027050018
Caution,0.09509803354740143
Latitude,0.08621670305728912
surcout_voyageur_supp,0.07517247647047043
NombreSdB,0.05749162286520004
frais_menage,0.049075089395046234
Longitude,0.04856597259640694
television,0.03648490458726883
type_propriete,0.03145919367671013
logement_fumeur,0.027666591107845306
duree_minimale_sejour,0.027459479868412018
rection_semaine,0.026326453313231468
Titre_studio,0.025436464697122574
seche_linge,0.025334572419524193
reduction_mois,0.017612041905522346
Climatisation,0.01709972321987152
Cuisine,0.016084913164377213
machine_laver,0.015990616753697395
animaux_acceptes,0.013478146865963936
Titre_chambre,0.012181173078715801
television_cable,0.010055324994027615
Piscine,0.009239913895726204
Titre_appartement,0.008577241562306881
detecteur_fumee,0.007679786533117294
Titre_terrasse,0.00767204025760293
Titre_du,0.007562173064798117
conditions_annulation,0.0074592335149645805
Titre_proche,0.007330652792006731
Titre_loft,0.0061657847836613655
Chauffage,0.006117841228842735
petit_dejeuner,0.0056961351074278355
type_lit,0.005323173478245735
Titre_cosy,0.0051572248339653015
cheminee_interieur,0.004817328415811062
Titre_des,0.0042844233103096485
Titre_au,0.004157420713454485
Titre_centre,0.004034510347992182
espace_travail_ordi,0.003751504933461547
Titre_maison,0.00365024758502841
Titre_bordeaux,0.0036033783107995987
seche_cheveux,0.003533704439178109
Titre_bel,0.0034216756466776133
Titre_chartrons,0.0033174301497638226
NbLits,0.00320119084790349
Titre_cœur,0.0031190712470561266
Internet,0.0031174204777926207
Titre_saint,0.0030641108751296997
Titre_le,0.0030366014689207077
Titre_ville,0.002875709207728505
Titre_hyper,0.0027003444265574217
produits_base,0.0024182135239243507
fiche_securite,0.0023422192316502333
pourEnfants_famille,0.002282553119584918
Titre_historique,0.002241716021671891
Cintres,0.002134534064680338
Titre_parking,0.002077969489619136
Titre_charme,0.0020736628212034702
Titre_aux,0.002070437418296933
Titre_triangle,0.0020511397160589695
parking_sur-place,0.002043782500550151
wifi,0.00203071441501379
Titre_et,0.002024987479671836
Titre_double,0.00201083323918283
Titre_beau,0.001953640952706337
Titre_petit,0.0018853099318221211
Titre_avec,0.0018450062489137053
Titre_t1,0.0018374294741079211
Titre_euro,0.00181572453584522
Titre_bordelaise,0.0017873200122267008
Titre_dans,0.0017581265419721603
Titre_flat,0.0017082333797588944
Titre_vue,0.0016842912882566452
Titre_grande,0.0015852560754865408
Titre_sur,0.001574549125507474
Titre_chambres,0.0015639603370800614
accessibilite,0.0015577939338982105
Titre_victoire,0.001487578614614904
Titre_t2,0.0013846838846802711
Titre_coeur,0.0013519776985049248
Titre_en,0.0013351010857149959
Titre_joli,0.0012859225971624255
Titre_échoppe,0.001281811622902751
Titre_gambetta,0.0012551711406558752
Titre_echoppe,0.0012483038008213043
Titre_jardin,0.0012050220975652337
Titre_st,0.0011640513548627496
Titre_charmant,0.0011148628545925021
Titre_lumineux,0.0010310884099453688
Interphone,0.00098237837664783
Titre_michel,0.0009756854269653559
fer_repasser,0.0009613021393306553
Entree_24-24,0.0009210673742927611
Titre_place,0.0008848930592648685
Titre_t3,0.0008824252290651202
Titre_grand,0.0008654975681565702
adapte_evenements,0.0008467916049994528
Titre_2016,0.0008048862800933421
Titre_appart,0.0007952306186780334
extincteur,0.000768943689763546
Ascenseur,0.000729251594748348
Titre_les,0.000698571908287704
Titre_t4,0.0006437431438826025
Titre_confortable,0.0006177214672788978
Titre_la,0.0005816951743327081
kit_secours,0.0005752615979872644
Titre_quartier,0.0005630212835967541
Titre_plein,0.0005340391653589904
Titre_hypercentre,0.0005153797683306038
Titre_calme,0.0005049628089182079
Titre_pièces,0.000460098497569561
Titre_duplex,0.0004356567224022001
Titre_spacieux,0.0004354625998530537
Titre_très,0.000422640994656831
monoxyde_carbone_detect,0.0003981112677138299
Titre_ancien,0.00036047890898771584
Titre_confort,0.00034514410072006285
Titre_salle,0.000326606968883425
Titre_balcon,0.00026844858075492084
Titre_privée,0.00026774522848427296
Titre_sdb,0.00025154664763249457
Jacuzzi,0.00024974404368549585
Titre_belle,0.00024630650295875967
Titre_appt,0.00023270993551705033
Titre_agréable,0.00018931066733784974
Titre_pierre,0.00017389337881468236
Titre_bdx,0.0001521530357422307
Titre_apt,0.00013390154344961047
Titre_pour,0.00011984263255726546
porte_chambre_verrou,0.00011304110375931486
Titre_tout,0.0001083733222912997
salle_sport,9.652264270698652e-05
Titre_m2,9.566177322994918e-05
Titre_tram,9.267010318581015e-05
Titre_bis,8.53238016134128e-05
Titre_center,7.857156015234068e-05
Titre_une,6.543308700202033e-05
Titre_quais,6.237757770577446e-05
Titre_piscine,5.658133522956632e-05
Titre_personnes,4.79153313790448e-05
Titre_jolie,4.47315615019761e-05
Titre_bordelais,0.0
Titre_gare,0.0
Titre_superbe,0.0
Portier,0.0
Titre_rue,0.0
Titre_public,0.0
Titre_neuf,0.0
Titre_jean,0.0
Titre_rénové,0.0
