Nom,Detected Type
Identifiant,Numeric
Url,Categorical
Titre,Categorical
PrixNuitee,Numeric
Latitude,Numeric
Longitude,Numeric
Resume,Categorical
Capacite_accueil,Numeric
NombreSdB,Numeric
NbChambres,Numeric
NbLits,Numeric
Type_logement,Categorical
type_propriete,Categorical
type_lit,Categorical
Animal_sur_place,Categorical
Cuisine,Categorical
Internet,Categorical
television,Categorical
produits_base,Categorical
Shampooing,Categorical
Chauffage,Categorical
Climatisation,Categorical
machine_laver,Categorical
seche_linge,Categorical
parking_sur-place,Categorical
wifi,Categorical
television_cable,Categorical
petit_dejeuner,Categorical
animaux_acceptes,Categorical
pourEnfants_famille,Categorical
adapte_evenements,Categorical
logement_fumeur,Categorical
accessibilite,Categorical
Ascenseur,Categorical
cheminee_interieur,Categorical
Interphone,Categorical
Portier,Categorical
Piscine,Categorical
Jacuzzi,Categorical
salle_sport,Categorical
Entree_24-24,Categorical
Cintres,Categorical
fer_repasser,Categorical
seche_cheveux,Categorical
espace_travail_ordi,Categorical
detecteur_fumee,Categorical
monoxyde_carbone_detect,Categorical
kit_secours,Categorical
fiche_securite,Categorical
extincteur,Categorical
porte_chambre_verrou,Categorical
prix_nuitee,Numeric
rection_semaine,Numeric
reduction_mois,Numeric
surcout_voyageur_supp,Numeric
frais_menage,Numeric
Caution,Numeric
conditions_annulation,Categorical
Description,Categorical
reglement_interieur,Categorical
duree_minimale_sejour,Numeric
