Name,Dictionary Description,Dictionary Type,Detected Type
Num_Acc,Numéro d'identifiant de l’accident.,,Numeric
id_vehicule,Identifiant unique du véhicule repris pour chacun des usagers occupant ce véhicule (y compris les piétons qui sont rattachés aux véhicules qui les ont heurtés) – Code numérique,,Categorical
num_veh,Identifiant du véhicule repris pour chacun des usagers occupant ce véhicule (y compris les piétons qui sont rattachés aux véhicules qui les ont heurtés) – Code alphanumérique.,,Categorical
place,Permet de situer la place occupée dans le véhicule par l'usager au moment de l'accident.,,Numeric
catu,Catégorie d'usager,,Categorical
grav,"Gravité de blessure de l'usager, les usagers accidentés sont classés en trois catégories de victimes plus les indemnes (1-Indemne, 2- Tué, 3 - Blessé hospitalisé  , 4-  Blessé léger)",,Categorical
sexe,Sexe de l'usager,,Categorical
an_nais,Année de naissance de l'usager.,,Numeric
trajet,Motif du déplacement au moment de l’accident,,Numeric
secu1,Le renseignement du caractère indique la présence et l’utilisation de l’équipement de sécurité,,Numeric
secu2,Le renseignement du caractère indique la présence et l’utilisation de l’équipement de sécurité ,,Numeric
secu3,Le renseignement du caractère indique la présence et l’utilisation de l’équipement de sécurité ,,Numeric
locp,Localisation du piéton ,,Numeric
actp,Action du piéton ,,Categorical
etatp,Cette variable permet de préciser si le piéton accidenté était seul ou non ,,Categorical
senc,Sens de circulation ,,Categorical
catv,Catégorie du véhicule ,,Numeric
obs,Obstacle fixe heurté ,,Numeric
obsm,Obstacle mobile heurté ,,Numeric
choc,Point de choc initial ,,Numeric
manv,Manoeuvre principale avant l’accident ,,Numeric
motor,Type de motorisation du véhicule ,,Numeric
occutc,Nombre d’occupants dans le transport en commun.,,Numeric
jour,Jour de l'accident.,,Numeric
mois,Mois de l'accident.,,Numeric
an,Année de l'accident.,,Categorical
hrmn,Heure et minutes de l'accident.,,Categorical
lum,Lumière : conditions d’éclairage dans lesquelles l'accident s'est produit ,,Categorical
dep,Département : Code INSEE (Institut National de la Statistique et des Etudes Economiques) du département (2A Corse-du-Sud – 2B Haute-Corse).,,Categorical
com,Commune : Le numéro de commune est un code donné par l‘INSEE. Le code est composé du code INSEE du département suivi par 3 chiffres.,,Categorical
agg,Localisation ,,Categorical
int,Intersection ,,Numeric
atm,Conditions atmosphériques ,,Numeric
col,Type de collision ,,Numeric
adr,Adresse postale : variable renseignée pour les accidents survenus en agglomération.,,Categorical
lat,Latitude,,Categorical
long,Longitude,,Categorical
catr,Catégorie de route ,,Numeric
voie,Numéro de la route.,,Categorical
v1,"Indice numérique du numéro de route (exemple : 2 bis, 3 ter etc.).",,Categorical
v2,Lettre indice alphanumérique de la route.,,Categorical
circ,Régime de circulation ,,Categorical
nbv,Nombre total de voies de circulation.,,Numeric
vosp,"Signale l’existence d’une voie réservée, indépendamment du fait que l’accident ait lieu ou non sur cette voie.",,Categorical
prof,Profil en long décrit la déclivité de la route à l'endroit de l'accident ,,Categorical
pr,Numéro du PR de rattachement (numéro de la borne amont). La valeur -1 signifie que le PR n’est pas renseigné.,,Categorical
pr1,Distance en mètres au PR (par rapport à la borne amont). La valeur -1 signifie que le PR n’est pas renseigné.,,Categorical
plan,Tracé en plan ,,Categorical
lartpc,Largeur du terre-plein central (TPC) s'il existe (en m).,,Numeric
larrout,"Largeur de la chaussée affectée à la circulation des véhicules ne sont pas compris les bandes d'arrêt d'urgence, les TPC et les places de stationnement (en m).",,Numeric
surf,Etat de la surface ,,Numeric
infra,Aménagement - Infrastructure ,,Numeric
situ,Situation de l’accident ,,Numeric
vma,Vitesse maximale autorisée sur le lieu et au moment de l’accident.,,Numeric
