Name,Dictionary Description,Dictionary Type,Detected Type
Marque,la marque,varchar (12),Categorical
Modele dossier,le modele du dossier,varchar (20),Categorical
Modele UTAC,le modèle commercial,varchar (20),Categorical
Designation commerciale,la désignation commerciale,varchar (91),Categorical
CNIT,le Code National d'Identification du Type (CNIT),varchar (15),Categorical
Type Variante Version (TVV),le Type-Variante-Version (TVV) ou le type Mines,varchar (36),Categorical
Carburant,le type de carburant,varchar (5),Categorical
Hybride,une information permettant d’identifier les véhicules hybrides (O/N),varchar (3),Categorical
Puissance administrative,la puissance administrative,varnb (2),Numeric
Puissance maximale (kW),la puissance maximale (en kW),varnb (11),Numeric
Boite de vitesse,"le type de boîte de vitesse et le nombre de rapports,",varchar (3),Categorical
Consommation urbaine (l/100km),"consommation urbaine de carburant (en l/100km),",varnb (11),Numeric
Consommation extra-urbaine (l/100km),"consommation mixte de carburant (en l/100km),",varnb (11),Numeric
Consommation mixte (l/100km),"consommation extra urbaine de carburant (en l/100km),",varnb (11),Numeric
CO2 (g/km),"l'émission de CO2 (en g/km),",varnb (3),Numeric
CO type I (g/km),le résultat d’essai de CO type I,varnb (11),Numeric
HC (g/km),les résultats d’essai HC,varnb (11),Numeric
NOX (g/km),les résultats d’essai NOx,varnb (11),Numeric
HC+NOX (g/km),les résultats d’essai HC+NOX,varnb (11),Numeric
Particules (g/km),le résultat d’essai de particules ,varnb (5),Numeric
masse vide euro min (kg),la masse en ordre de marche mini,varnb (4),Numeric
masse vide euro max (kg),la masse en ordre de marche maxi,varnb (4),Numeric
Champ V9,le champ V9 du certificat d’immatriculation qui contient la norme EURO,varchar (23),Categorical
Date de mise a jour,la date de la dernière mise à jour.,varchar (6),Categorical
Carrosserie,Carrosserie,varchar (19),Categorical
gamme,gamme,varchar (14),Categorical
