Name,Dictionary Description,Dictionary Type,Detected Type
Code service CH,Données non restituées en application du décret n° 2018-1350 du 28 décembre 2018,,Unsupported
Référence document,Données non restituées en application du décret n° 2018-1350 du 28 décembre 2019,,Unsupported
Article CGI 1,Données non restituées en application du décret n° 2018-1350 du 28 décembre 2020,,Unsupported
Article CGI 2,Données non restituées en application du décret n° 2018-1350 du 28 décembre 2021,,Unsupported
Article CGI 3,Données non restituées en application du décret n° 2018-1350 du 28 décembre 2021,,Unsupported
Article CGI 4,Données non restituées en application du décret n° 2018-1350 du 28 décembre 2021,,Unsupported
Article CGI 5,Données non restituées en application du décret n° 2018-1350 du 28 décembre 2021,,Unsupported
N°de disposition,Identification des dispositions,,Numeric
Date de mutation,Date de signature de l’acte (au format JJ/MM/AAAA),,Categorical
Nature de la mutation,"Vente, vente en l’état futur d’achèvement, vente de terrain à bâtir, adjudication, expropriation ou échange",,Categorical
Valeur foncière,"Il s’agit du montant ou de l’évaluation déclaré dans le cadre d’une mutation à titre onéreux. La valeur foncière est le prix net vendeur. La TVA est incluse. Ce prix n’inclut pas, en revanche, les frais de notaires.",,Categorical
N° de voie,Numéro dans la voie,,Numeric
B/T/Q,Indice de répétition,,Categorical
Type de voie,"Exemple : Rue, avenue, etc.",,Categorical
Code voie,"Code Rivoli (répertoire informatisé codifiant, par commune, les voies, les lieux- dits et les ensembles immobiliers)",,Unsupported
Voie,Libellé de la voie,,Categorical
Code postal,,,Numeric
Commune,Libellé de la commune,,Categorical
Code département,Référence cadastrale de la parcelle,,Unsupported
Code commune,Référence cadastrale de la parcelle,,Numeric
Préfixe de section,Référence cadastrale de la parcelle,,Numeric
Section,Référence cadastrale de la parcelle,,Categorical
No de Plan,Référence cadastrale de la parcelle,,Numeric
N° de volume,,,Unsupported
1er lot,"Un lot de copropriété est constitué d’une partie privative (appartement, cave, etc.) et d’une quote-part de du 1er lot partie commune (tantièmes).",,Unsupported
Surface Carrez de 1er lot,"Un lot de copropriété est constitué d’une partie privative (appartement, cave, etc.) et d’une quote-part de du 1er lot partie commune (tantièmes).",,Categorical
2e lot,"Un lot de copropriété est constitué d’une partie privative (appartement, cave, etc.) et d’une quote-part de du 1er lot partie commune (tantièmes).",,Unsupported
Surface Carrez de 2e lot,"Un lot de copropriété est constitué d’une partie privative (appartement, cave, etc.) et d’une quote-part de du 1er lot partie commune (tantièmes).",,Categorical
3e lot,"Un lot de copropriété est constitué d’une partie privative (appartement, cave, etc.) et d’une quote-part de du 1er lot partie commune (tantièmes).",,Unsupported
Surface Carrez de 3e lot,"Un lot de copropriété est constitué d’une partie privative (appartement, cave, etc.) et d’une quote-part de du 1er lot partie commune (tantièmes).",,Categorical
4e lot,"Un lot de copropriété est constitué d’une partie privative (appartement, cave, etc.) et d’une quote-part de du 1er lot partie commune (tantièmes).",,Numeric
Surface Carrez de 4e lot,"Un lot de copropriété est constitué d’une partie privative (appartement, cave, etc.) et d’une quote-part de du 1er lot partie commune (tantièmes).",,Categorical
5e lot,"Un lot de copropriété est constitué d’une partie privative (appartement, cave, etc.) et d’une quote-part de du 1er lot partie commune (tantièmes).",,Numeric
Surface Carrez de 5e lot,"Un lot de copropriété est constitué d’une partie privative (appartement, cave, etc.) et d’une quote-part de du 1er lot partie commune (tantièmes).",,Categorical
Nombre de lots,,,Numeric
Code type local,"1 : maison,  2 : appartement ,  3 : dépendance (isolée) ,  4 : local industriel et commercial ou assimilés",,Categorical
Type local,"1 : maison,  2 : appartement ,  3 : dépendance (isolée) ,  4 : local industriel et commercial ou assimilés",,Categorical
Identifiant local,Donnée non restituée en application du décret n° 2018-1350 du 28 décembre 2018,,Unsupported
Surface réelle bâti,La surface réelle est la surface mesurée au sol entre les murs ou séparations et arrondie au mètre carré inférieur. Les surfaces des dépendances ne sont pas prises en compte.,,Numeric
Nombre de pièces principales,"Les cuisines, salles d’eau et dépendances ne sont pas prises en compte.",,Numeric
Nature culture,Voir dans le présente document la table de références : nature de culture ,,Categorical
Nature culture spéciale,Voir dans le présent document la table de références : nature de culture spéciale ,,Categorical
Surface terrain,Contenance du terrain,,Numeric
