Name,Detected Type
ID_ARBRE,Categorical
commune,Categorical
quartier,Categorical
site,Categorical
cote_voirie,Categorical
matricule_arbre,Numeric
genre_arbre,Categorical
espece_arbre,Categorical
controle,Categorical
situation,Categorical
type_sol,Categorical
surf_permeable,Numeric
date_plantation,Numeric
classe_age,Categorical
hauteur,Numeric
classe_hauteur,Categorical
diametre,Numeric
circonference (en cm),Numeric
classe_circonference,Categorical
port_arbre,Categorical
vigueur_pousse,Categorical
champignon_collet,Categorical
insecte_collet,Categorical
plaie_collet,Categorical
observation_collet,Categorical
champignon_tronc,Categorical
insecte_tronc,Categorical
fissure_tronc,Categorical
rejet_tronc,Categorical
tuteurage_arbre,Categorical
canisse_arbre,Categorical
plaie_tronc,Categorical
observation_tronc,Categorical
champignon_houppier,Categorical
insecte_houppier,Categorical
fissure_houppier,Categorical
ecorce_incluse_houppier,Categorical
bois_mort_houppier,Categorical
plaie_houppier,Categorical
observation_houppier,Categorical
esperance_maintien,Categorical
contrainte,Categorical
classification_diagnostic,Categorical
date_diagnostic,Categorical
prescription_1,Categorical
prescription_2,Categorical
prescription_3,Categorical
observation_travaux,Categorical
type_delai_1,Categorical
delai_annee_programmation,Categorical
type_delai_2,Categorical
delai_preconisation_2,Categorical
delai_saison_programmation_2,Categorical
delai_annee_programmation_2,Categorical
reference_photo,Categorical
Long,Numeric
Lat,Numeric
