feature,mean_importance
Ind_18_24,-0.0006298237082505043
Men_coll,-0.00016260623758501124
Ind,-8.326672684688674e-18
t_maille,-8.326672684688674e-18
Log_ap90,-5.551115123125783e-18
Men_surf,-5.551115123125783e-18
Ind_65_79,-5.551115123125783e-18
Ind_55_64,-5.551115123125783e-18
Men_1ind,-5.551115123125783e-18
Ind_inc,-2.7755575615628915e-18
Ind_snv,-2.7755575615628915e-18
Log_45_70,-2.7755575615628915e-18
I_pauv,-2.7755575615628915e-18
Log_inc,-2.7755575615628915e-18
Ind_40_54,-2.7755575615628915e-18
Ind_25_39,0.0
Men,0.0
Log_70_90,0.0001842766066439988
Ind_80p,0.00022198729833567966
Men_mais,0.0006793803862184006
Ind_0_3,0.0008630022792345954
Ind_11_17,0.0016036192770788771
Log_av45,0.0038094846407009915
Men_5ind,0.004079648177534317
Ind_4_5,0.01034679789621186
Ind_6_10,0.015702973152919217
Men_pauv,0.03445563051498772
Men_prop,0.05519430257651231
Men_fmp,0.9479463148614371
