feature,mean_importance
Particules (E-06 disease inc./kg de produit),-5230893465.6
Épuisement des ressources énergétiques (MJ/kg de produit),-1798170214.4
Changement climatique (kg CO2 eq/kg de produit),-1252399513.6
Utilisation du sol (Pt/kg de produit),-922445414.4
Épuisement des ressources eau (m3 depriv./kg de produit),-710770688.0
Eutrophisation terreste (mol N eq/kg de produit),-706491187.2
Eutrophisation marine (E-03 kg N eq/kg de produit),-629768192.0
Écotoxicité pour écosystèmes aquatiques d'eau douce (CTUe/kg de produit),-540672000.0
Nom du Produit en Français_eau,-519359692.8
Formation photochimique d'ozone (E-03 kg NMVOC eq/kg de produit),-513127219.2
LCI Name_flavoured,-328826880.0
LCI Name_sugar,-323407052.8
Eutrophisation eaux douces (E-03 kg P eq/kg de produit),-234514022.4
Groupe d'aliment,-204459212.8
Épuisement des ressources minéraux (E-06 kg Sb eq/kg de produit),-199720960.0
Nom du Produit en Français_égoutté,-181495398.4
LCI Name_dehydrated,-158262886.4
Nom du Produit en Français_gazeuse,-113803264.0
Nom du Produit en Français_fromage,-109857996.8
LCI Name_dried,-86782771.2
LCI Name_mineral,-75399168.0
Livraison,-68596531.2
LCI Name_raw,-68085350.4
LCI Name_canned,-60188262.4
Nom du Produit en Français_sucré,-54368665.6
LCI Name_cooked,-45934182.4
Nom du Produit en Français_ou,-41608806.4
LCI Name_lightly,-27557888.0
Nom du Produit en Français_sirop,-25631129.6
LCI Name_boiled,-22498508.8
Nom du Produit en Français_fourrée,-20525875.2
LCI Name_light,-18749849.6
Nom du Produit en Français_mg,-13218611.2
Nom du Produit en Français_thon,-10040115.2
LCI Name_fat,-9627238.4
Nom du Produit en Français_et,-8414822.4
Appauvrissement de la couche d'ozone (E-06 kg CVC11 eq/kg de produit),-7451443.2
Nom du Produit en Français_terre,-1323827.2
Nom du Produit en Français_cuite,-1127219.2
LCI Name_soft,-622592.0
LCI Name_reduced,0.0
LCI Name_cereals,0.0
LCI Name_chicken,0.0
LCI Name_chocolate,0.0
LCI Name_veal,0.0
LCI Name_cookie,0.0
LCI Name_corn,0.0
LCI Name_cream,0.0
LCI Name_crepe,0.0
LCI Name_unsalted,0.0
LCI Name_dessert,0.0
LCI Name_type,0.0
LCI Name_dry,0.0
LCI Name_egg,0.0
LCI Name_tomato,0.0
LCI Name_dairy,0.0
LCI Name_vegetable,0.0
LCI Name_butter,0.0
LCI Name_breakfast,0.0
Nom du Produit en Français_tomate,0.0
Nom du Produit en Français_viande,0.0
Nom du Produit en Français_vitamines,0.0
LCI Name_white,0.0
Nom du Produit en Français_yaourt,0.0
LCI Name_wheat,0.0
LCI Name_baby,0.0
LCI Name_vitamins,0.0
LCI Name_baked,0.0
LCI Name_bar,0.0
LCI Name_bean,0.0
LCI Name_beef,0.0
LCI Name_biscuit,0.0
LCI Name_vegetables,0.0
LCI Name_bread,0.0
LCI Name_style,0.0
LCI Name_fish,0.0
LCI Name_fortified,0.0
LCI Name_refrigerated,0.0
LCI Name_sandwich,0.0
LCI Name_oil,0.0
LCI Name_pan,0.0
LCI Name_salmon,0.0
LCI Name_pasta,0.0
