feature,shap_importance
Nom du Produit en Français_embouteillée,14824764965.879467
LCI Name_bottled,12865794856.68895
LCI Name_mineralized,11905193677.641033
Nom du Produit en Français_faiblement,10736621335.572472
Nom du Produit en Français_minéralisée,5780637378.796266
Nom du Produit en Français_moyennement,5363829988.513468
Nom du Produit en Français_fortement,4939745913.03879
Nom du Produit en Français_grasse,968913352.4089307
Nom du Produit en Français_matière,968913352.4058757
LCI Name_chemical,648798626.6873081
LCI Name_elements,648798626.6755794
Score unique EF (mPt/kg de produit),4.395884156381327
Particules (E-06 disease inc./kg de produit),3.5795974178303855
Acidification terrestre et eaux douces (mol H+ eq/kg de produit),2.4361788559131434
Changement climatique (kg CO2 eq/kg de produit),0.6720994304742952
Épuisement des ressources énergétiques (MJ/kg de produit),0.5683632779953633
Eutrophisation terreste (mol N eq/kg de produit),0.5628951837321479
Utilisation du sol (Pt/kg de produit),0.5436695027454305
Formation photochimique d'ozone (E-03 kg NMVOC eq/kg de produit),0.3422936146965565
Eutrophisation marine (E-03 kg N eq/kg de produit),0.28791237667630204
Écotoxicité pour écosystèmes aquatiques d'eau douce (CTUe/kg de produit),0.2699908492072622
Épuisement des ressources eau (m3 depriv./kg de produit),0.2526038334352449
Nom du Produit en Français_soupe,0.1265176561895411
Eutrophisation eaux douces (E-03 kg P eq/kg de produit),0.11414144076679358
LCI Name_soup,0.11186648643215284
LCI Name_cheese,0.10420729127014088
Rayonnements ionisants (kBq U-235 eq/kg de produit),0.10085632741444081
Groupe d'aliment,0.09248277879470641
Épuisement des ressources minéraux (E-06 kg Sb eq/kg de produit),0.09069223694785301
Nom du Produit en Français_rayon,0.07171618720525769
Nom du Produit en Français_préemballée,0.06835079443917291
LCI Name_prepacked,0.0653518917435566
Nom du Produit en Français_aux,0.05016633557722982
LCI Name_refrigerated,0.048935574727172144
Nom du Produit en Français_poudre,0.04560294160230227
LCI Name_raw,0.04350200707122156
Livraison,0.042261613422196115
LCI Name_powder,0.03916950712334256
LCI Name_water,0.03914964204481702
LCI Name_cooked,0.03829862569944783
Nom du Produit en Français_crue,0.03447894852430063
Sous-groupe d'aliment,0.03431392325606714
LCI Name_dried,0.03404562645004164
LCI Name_pork,0.032523005986123586
LCI Name_breakfast,0.03159491947543969
Nom du Produit en Français_légumes,0.03155770956504858
LCI Name_fish,0.030815743849592344
Nom du Produit en Français_eau,0.029129139595746773
Nom du Produit en Français_minérale,0.028589276797344482
Nom du Produit en Français_appertisé,0.028025212255174778
Nom du Produit en Français_pulpe,0.02663500715172254
LCI Name_pure,0.026451762155533028
LCI Name_fresh,0.026273752841441574
LCI Name_cow,0.025808226247775328
LCI Name_bread,0.025439006284423252
Nom du Produit en Français_égoutté,0.025356110111765983
Nom du Produit en Français_boisson,0.02528163779163912
LCI Name_sugar,0.024362044254808944
Nom du Produit en Français_pain,0.024055379186423236
LCI Name_dehydrated,0.024025060768043248
LCI Name_vegetables,0.02402033700886786
Nom du Produit en Français_fromage,0.024005893097129225
Nom du Produit en Français_lait,0.023970760302196133
LCI Name_cookie,0.023946950292232143
Matériau d'emballage,0.023931301248846636
LCI Name_syrup,0.023572567968738068
LCI Name_drained,0.02333075427060141
LCI Name_fortified,0.02280036740855397
Nom du Produit en Français_vitamines,0.02254115307443046
LCI Name_fruits,0.02228326740734516
LCI Name_cake,0.022214980433344213
Nom du Produit en Français_préemballé,0.021371907137570617
Nom du Produit en Français_poisson,0.02098781694810197
LCI Name_fruit,0.020039379854564485
LCI Name_pulp,0.01989641674180142
Nom du Produit en Français_chocolat,0.019648629314698962
Nom du Produit en Français_pâte,0.019301995662883965
LCI Name_pizza,0.018836896907091935
Nom du Produit en Français_riz,0.018678700657673783
LCI Name_bar,0.018243180347667164
Nom du Produit en Français_déjeuner,0.017563326081398902
Nom du Produit en Français_la,0.01747541876903274
Nom du Produit en Français_porc,0.017469817598854867
LCI Name_tomato,0.017457602683012254
Nom du Produit en Français_jambon,0.017382739772758886
LCI Name_egg,0.017264228170627803
LCI Name_sauce,0.016969808174962495
Nom du Produit en Français_ou,0.016838184517923287
Nom du Produit en Français_pomme,0.01682554494024827
LCI Name_mineral,0.01661508854209145
Nom du Produit en Français_fruits,0.0164997570210179
Nom du Produit en Français_frais,0.01634902353021002
Nom du Produit en Français_non,0.01624531370641015
Nom du Produit en Français_au,0.016186780114883805
LCI Name_vitamins,0.016122987176085665
Nom du Produit en Français_grillée,0.01590444533538994
LCI Name_canned,0.015900987665053015
Nom du Produit en Français_mg,0.015504730476054867
LCI Name_pastry,0.015240306517421759
Nom du Produit en Français_gazeuse,0.014625336436644492
Nom du Produit en Français_pur,0.014504601932259107
LCI Name_crepe,0.013882438254556276
LCI Name_oil,0.013766143601214347
Nom du Produit en Français_type,0.013638444470906235
LCI Name_milk,0.013585063435194288
Nom du Produit en Français_jus,0.013565358856764007
LCI Name_cream,0.013474506172763476
Nom du Produit en Français_sucré,0.01306077641571216
LCI Name_frozen,0.012801230635278901
LCI Name_rice,0.012441021240838117
Nom du Produit en Français_viande,0.011946297864488083
LCI Name_beef,0.01189613885890186
LCI Name_juice,0.011837799738936124
Nom du Produit en Français_salade,0.011786202697475821
LCI Name_corn,0.011242654807219142
LCI Name_biscuit,0.01121929440899242
LCI Name_fat,0.011194913225399946
Préparation,0.010579437610531156
Nom du Produit en Français_maïs,0.010412782432760944
LCI Name_butter,0.010330267381421456
Nom du Produit en Français_chou,0.009894448471763125
Nom du Produit en Français_environ,0.009808379043371392
Nom du Produit en Français_spécialité,0.00978877446017474
LCI Name_drink,0.00968515494776304
Nom du Produit en Français_pizza,0.009467692555336686
Nom du Produit en Français_poulet,0.009226722233627225
LCI Name_pasta,0.008921858687057154
Nom du Produit en Français_sirop,0.008823952018688798
Nom du Produit en Français_boeuf,0.008760089558435933
LCI Name_goat,0.008667470965834789
LCI Name_white,0.008584457057372855
Nom du Produit en Français_blé,0.008250969186356176
Nom du Produit en Français_minéraux,0.008164972893979818
Saisonnalité,0.008085788597201715
Nom du Produit en Français_déshydratée,0.008074227442338986
Nom du Produit en Français_blanc,0.008015063910226283
LCI Name_sandwich,0.007681677742260162
Nom du Produit en Français_en,0.007669247287934331
Nom du Produit en Français_yaourt,0.007656591349681288
LCI Name_baked,0.007629322740614806
LCI Name_chocolate,0.00755953537476934
Nom du Produit en Français_pâtes,0.007391196316742531
Nom du Produit en Français_base,0.007283048738018367
LCI Name_red,0.007255460378885941
Nom du Produit en Français_peau,0.007189984443643787
LCI Name_plain,0.007107438802987664
LCI Name_sausage,0.007020966743364498
Nom du Produit en Français_crème,0.006916116701137178
Nom du Produit en Français_huile,0.006800890620275046
Nom du Produit en Français_petit,0.006677167763704921
LCI Name_light,0.006575874342534696
LCI Name_dairy,0.006307921219941345
LCI Name_strongly,0.0061905795072736405
LCI Name_wheat,0.006179818144831849
Nom du Produit en Français_biscuit,0.005721974984421539
LCI Name_yogurt,0.005634871876090226
Nom du Produit en Français_beurre,0.005558581925943722
Nom du Produit en Français_céréales,0.005535987485879591
LCI Name_roasted,0.005337015100552576
Nom du Produit en Français_sucrée,0.005286292445163087
Nom du Produit en Français_sauce,0.005274374056392496
LCI Name_flavoured,0.005049603900578285
Nom du Produit en Français_chèvre,0.004957820291756901
Nom du Produit en Français_et,0.004953232348717682
Nom du Produit en Français_veau,0.00486102779273655
LCI Name_baby,0.004842966800447865
LCI Name_dessert,0.004748468194285678
LCI Name_lamb,0.004553163619815852
Appauvrissement de la couche d'ozone (E-06 kg CVC11 eq/kg de produit),0.004322198636950058
LCI Name_skin,0.004304120034081928
Nom du Produit en Français_sec,0.0042924037497399856
Nom du Produit en Français_surgelée,0.004274907665399079
LCI Name_salmon,0.0042060569210460004
Nom du Produit en Français_noix,0.0041704492909722165
LCI Name_boiled,0.0038343797757014026
LCI Name_style,0.0035891137235020496
LCI Name_fried,0.0035048357213132634
Nom du Produit en Français_dessert,0.003444934136211828
LCI Name_grilled,0.0034254851904190935
LCI Name_reduced,0.0033794367977397818
LCI Name_lightly,0.003171791683868736
Nom du Produit en Français_rôtie,0.0031640183797811694
Nom du Produit en Français_tomate,0.003162940025105844
LCI Name_ice,0.0029768033137983884
Nom du Produit en Français_agneau,0.0029530317315684404
LCI Name_dry,0.002901433885826138
Nom du Produit en Français_fourrée,0.002561966284170713
LCI Name_potato,0.002391791566535781
LCI Name_ham,0.0021672824570990704
Nom du Produit en Français_sèche,0.0020740831516466987
LCI Name_meat,0.0018975326130380734
Nom du Produit en Français_demi,0.0018371121239719598
LCI Name_french,0.0017638791772670275
LCI Name_vegetable,0.0016678496819817288
LCI Name_chicken,0.0016547840871011014
LCI Name_green,0.0016116915569244737
LCI Name_sparkling,0.0015819932987160832
Nom du Produit en Français_surgelé,0.0015772548484462164
LCI Name_filled,0.0015443622229388808
Nom du Produit en Français_cuit,0.0014833638517653
LCI Name_unsalted,0.001435107251098394
LCI Name_cereals,0.0013957915104483717
Nom du Produit en Français_cru,0.0013827987545101284
Nom du Produit en Français_pour,0.0013338978016368098
LCI Name_type,0.001329024613863958
LCI Name_wine,0.0013184007803644228
Nom du Produit en Français_rôti,0.000976606656978801
Nom du Produit en Français_st,0.0009439516936044077
Nom du Produit en Français_avec,0.0009328718793284203
Nom du Produit en Français_cuite,0.0009247132085569027
Nom du Produit en Français_thon,0.0008360318602318856
Nom du Produit en Français_nature,0.0007242922682617925
Nom du Produit en Français_pois,0.0007061491074302322
Nom du Produit en Français_sans,0.0006170198688501032
LCI Name_pan,0.0005168206992588124
Nom du Produit en Français_terre,0.00039247926956023524
LCI Name_veal,0.0003446014597489164
LCI Name_steak,0.00032710412513353016
Nom du Produit en Français_filet,0.00032057393884182833
LCI Name_soft,0.00023751519375423587
LCI Name_bean,0.00016914551099581144
Transport par avion (1 : par avion),1.9535683530246664e-05
