feature,mean_importance
LCI Name_fish,-0.0017699322287795915
Nom du Produit en Français_ou,-0.0014235901999523736
Nom du Produit en Français_pizza,-0.0014203815395108176
LCI Name_bread,-0.0012818160308238013
Nom du Produit en Français_beurre,-0.0011522250701415549
Nom du Produit en Français_sirop,-0.0009679107905279927
Nom du Produit en Français_yaourt,-0.0006700622103015252
Nom du Produit en Français_base,-0.0006447660109324182
LCI Name_chocolate,-0.0004994088271990993
LCI Name_ham,-0.0004862548683231549
Nom du Produit en Français_cru,-0.0004470230878962811
Nom du Produit en Français_pulpe,-0.0003650127560833716
Nom du Produit en Français_blanc,-0.00035879993591825254
Nom du Produit en Français_non,-0.0003061807821810536
LCI Name_soft,-0.00025403792411772265
Nom du Produit en Français_fourrée,-0.00025325041717242367
LCI Name_crepe,-0.0002304195492561667
LCI Name_white,-0.0002303851810517399
LCI Name_pastry,-0.0002136011634565671
LCI Name_boiled,-0.00020599489138084515
LCI Name_pan,-0.00018971626340804625
Nom du Produit en Français_pour,-0.00018446506779329352
LCI Name_cookie,-0.00016137647700645852
Nom du Produit en Français_poisson,-0.00014609801664988709
Nom du Produit en Français_et,-0.00014397586550713993
Nom du Produit en Français_la,-0.00013580634292933435
Nom du Produit en Français_avec,-0.0001066506280030799
LCI Name_light,-7.379322509668552e-05
LCI Name_baby,-6.031802337713721e-05
LCI Name_dairy,-5.89752367672558e-05
Nom du Produit en Français_nature,-5.056400694199992e-05
Nom du Produit en Français_cuite,-4.209660252189051e-05
Nom du Produit en Français_eau,-3.781220252714323e-05
LCI Name_roasted,-2.9516323796763277e-05
Nom du Produit en Français_cuit,-2.9347340048491154e-05
LCI Name_syrup,-2.544824757650943e-05
LCI Name_salmon,-1.671252938058032e-05
LCI Name_bean,-1.2987947614506723e-05
LCI Name_meat,-1.1541614838594949e-05
LCI Name_sausage,-8.36252158847861e-06
LCI Name_vegetables,-6.074466515837429e-06
Nom du Produit en Français_grillée,-5.196087871683908e-06
Nom du Produit en Français_blé,-4.235527166773778e-06
LCI Name_dehydrated,-1.5246329632678801e-06
Nom du Produit en Français_déshydratée,-1.3248901578055694e-06
Nom du Produit en Français_pur,0.0
