Name,Dictionary Description,Dictionary Type,Detected Type
Code_AGB ,Code AGB ,uri-reference ,Numeric
Code_CIQUAL ,Code CIQUAL ,integer ,Numeric
Groupe_d'aliment ,Groupe d'aliment ,string ,Categorical
Sous-groupe_d'aliment ,Sous-groupe d'aliment ,string ,Categorical
Nom_du_Produit_en_Français ,Nom du Produit en Français ,string ,Categorical
LCI_Name ,LCI Name ,string ,Categorical
Livraison ,Livraison ,string ,Categorical
Matériau_d'emballage ,Matériau d'emballage ,string ,Categorical
Préparation ,Préparation ,string ,Categorical
DQR_-_Note_de_qualité_de_la_donnée_(1_excellente___5_très_faible) ,DQR - Note de qualité de la donnée (1 excellente ;  5 très faible) ,number ,Numeric
Score_unique_EF_(mPt/kg_de_produit) ,Score unique EF (mPt/kg de produit) ,number ,Numeric
Changement_climatique_(kg_CO2_eq/kg_de_produit) ,Changement climatique (kg CO2 eq/kg de produit) ,number ,Numeric
Appauvrissement_de_la_couche_d'ozone_(E-06_kg_CVC11_eq/kg_de_produit) ,Appauvrissement de la couche d'ozone (E-06 kg CVC11 eq/kg de produit) ,number ,Numeric
Rayonnements_ionisants_(kBq_U-235_eq/kg_de_produit) ,Rayonnements ionisants (kBq U-235 eq/kg de produit) ,number ,Numeric
Formation_photochimique_d'ozone_(E-03_kg_NMVOC_eq/kg_de_produit) ,Formation photochimique d'ozone (E-03 kg NMVOC eq/kg de produit) ,number ,Numeric
Particules_(E-06_disease_inc_/kg_de_produit) ,Particules (E-06 disease inc./kg de produit) ,number ,Numeric
Acidification_terrestre_et_eaux_douces_(mol_H+_eq/kg_de_produit) ,Acidification terrestre et eaux douces (mol H+ eq/kg de produit) ,number ,Numeric
Eutrophisation_terreste_(mol_N_eq/kg_de_produit) ,Eutrophisation terreste (mol N eq/kg de produit) ,number ,Numeric
Eutrophisation_eaux_douces_(E-03_kg_P_eq/kg_de_produit) ,Eutrophisation eaux douces (E-03 kg P eq/kg de produit) ,number ,Numeric
Eutrophisation_marine_(E-03_kg_N_eq/kg_de_produit) ,Eutrophisation marine (E-03 kg N eq/kg de produit) ,number ,Numeric
Utilisation_du_sol_(Pt/kg_de_produit) ,Utilisation du sol (Pt/kg de produit) ,number ,Numeric
Écotoxicité_pour_écosystèmes_aquatiques_d'eau_douce_(CTUe/kg_de_produit) ,Écotoxicité pour écosystèmes aquatiques d'eau douce (CTUe/kg de produit) ,number ,Numeric
Épuisement_des_ressources_eau_(m3_depriv_/kg_de_produit) ,Épuisement des ressources eau (m3 depriv./kg de produit) ,number ,Numeric
Épuisement_des_ressources_énergétiques_(MJ/kg_de_produit) ,Épuisement des ressources énergétiques (MJ/kg de produit) ,number ,Numeric
Épuisement_des_ressources_minéraux_(E-06_kg_Sb_eq/kg_de_produit) ,Épuisement des ressources minéraux (E-06 kg Sb eq/kg de produit) ,number ,Numeric
Saisonnalité ,Saisonnalité ,string ,Categorical
Transport_par_avion_(1___par_avion) ,Transport par avion (1 : par avion) ,boolean ,Categorical
