feature,weight
intercept,21386235068388.074
nom_com,-8022161938951.066
insee_com,-564700772219.1455
nom_station,20768773491037.65
code_station,1535864025172.957
typologie,-13019800846090.668
influence,-73104581312201.8
nom_poll,0.4338111877441406
id_poll_ue,-0.181640625
lat,10328861852071.074
long,-55056865306321.55
jour_semaine_debut,-2426016461368.095
jour_semaine_fin,-2993697834937.958
jour_debut,-4981780425258.93
jour_fin,10401494721564.822
heure_debut,-6274644512084.809
heure_fin,6274644512084.825
