Name,Dictionary Description,Dictionary Type,Detected Type
Num_Acc,Numéro d'identifiant de l’accident.,,
id_vehicule_x,Identifiant unique du véhicule repris pour chacun des usagers occupant ce véhicule (,,
num_veh_x,Identifiant du véhicule repris pour chacun des usagers occupant ce véhicule (y compris les piétons qui sont rattachés aux véhicules qui les ont heurtés) – Code alphanumérique.,,
place,Permet de situer la place occupée dans le véhicule par l'usager au moment de l'accident.,,
catu,Catégorie d'usager,,
grav,"Gravité de blessure de l'usager, les usagers accidentés sont classés en trois catégories de victimes plus les indemnes",,
sexe,Sexe de l'usager,,
an_nais,Année de naissance de l'usager.,,
trajet,Motif du déplacement au moment de l’accident,,
secu1,Le renseignement du caractère indique la présence et l’utilisation de l’équipement de sécurité :,,
secu2,Le renseignement du caractère indique la présence et l’utilisation de l’équipement de sécurité :,,
secu3,Le renseignement du caractère indique la présence et l’utilisation de l’équipement de sécurité :,,
locp,Localisation du piéton :,,
actp,Action du piéton :,,
etatp,Cette variable permet de préciser si le piéton accidenté était seul ou non :,,
id_vehicule_y,Nombre de logements* construits depuis 1990,,
num_veh_y,Nombre de logements* dont la date de construction est inconnue ,,
senc,Sens de circulation :,,
catv,Catégorie du véhicule :,,
obs,Obstacle fixe heurté :,,
obsm,Obstacle mobile heurté :,,
choc,Point de choc initial :,,
manv,Manoeuvre principale avant l’accident :,,
motor,Type de motorisation du véhicule :,,
occutc,Nombre d’occupants dans le transport en commun.,,
jour,Jour de l'accident.,,
mois,Mois de l'accident.,,
an,Année de l'accident.,,
hrmn,Heure et minutes de l'accident.,,
lum,Lumière : conditions d’éclairage dans lesquelles l'accident s'est produit :,,
dep,Département : Code INSEE (Institut National de la Statistique et des Etudes Economiques) du département (2A Corse-du-Sud – 2B Haute-Corse).,,
com,Commune : Le numéro de commune est un code donné par l‘INSEE. Le code est composé du code INSEE du département suivi par 3 chiffres.,,
agg,Localisation :,,
int,Intersection :,,
atm,Conditions atmosphériques :,,
col,Type de collision :,,
adr,Adresse postale : variable renseignée pour les accidents survenus en agglomération.,,
lat,Latitude,,
long,Longitude,,
catr,Catégorie de route :,,
voie,Numéro de la route.,,
v1,"Indice numérique du numéro de route (exemple : 2 bis, 3 ter etc.).",,
v2,Lettre indice alphanumérique de la route.,,
circ,Régime de circulation :,,
nbv,Nombre total de voies de circulation.,,
vosp,"Signale l’existence d’une voie réservée, indépendamment du fait que l’accident ait lieu ou non sur cette voie.",,
prof,Profil en long décrit la déclivité de la route à l'endroit de l'accident :,,
pr,Numéro du PR de rattachement (numéro de la borne amont). La valeur -1 signifie que le PR n’est pas renseigné.,,
pr1,Distance en mètres au PR (par rapport à la borne amont). La valeur -1 signifie que le PR n’est pas renseigné.,,
plan,Tracé en plan :,,
lartpc,Largeur du terre-plein central (TPC) s'il existe (en m).,,
larrout,"Largeur de la chaussée affectée à la circulation des véhicules ne sont pas compris les bandes d'arrêt d'urgence, les TPC et les places de stationnement (en m).",,
surf,Etat de la surface :,,
infra,Aménagement - Infrastructure :,,
situ,Situation de l’accident :,,
vma,Vitesse maximale autorisée sur le lieu et au moment de l’accident.,,
